"vertlifeSpecies","ZIMSspecies"
"Oryx dammah","Oryx dammah"
"Vulpes vulpes","Vulpes vulpes"
"Vulpes zerda","Vulpes zerda"
"Macropus fuliginosus","Macropus fuliginosus"
"Dama dama","Dama dama"
"Mustela putorius","Mustela putorius"
"Mephitis mephitis","Mephitis mephitis"
"Saguinus oedipus","Saguinus oedipus"
"Tragelaphus oryx","Tragelaphus oryx"
"Suricata suricatta","Suricata suricatta"
"Callithrix jacchus","Callithrix jacchus"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros"
"Eulemur macaco","Eulemur macaco"
"Lemur catta","Lemur catta"
"Ursus americanus","Ursus americanus"
"Ursus arctos","Ursus arctos"
"Capra nubiana","Capra nubiana"
"Sapajus apella","Sapajus apella"
"Cebus capucinus","Cebus capucinus"
"Panthera tigris","Panthera tigris"
"Odocoileus virginianus","Odocoileus virginianus"
"Canis latrans","Canis latrans"
"Canis lupus","Canis lupus"
"Mungos mungo","Mungos mungo"
"Hemitragus jemlahicus","Hemitragus jemlahicus"
"Saimiri sciureus","Saimiri sciureus"
"Macropus rufogriseus","Notamacropus rufogriseus"
"Zalophus californianus","Zalophus californianus"
"Nasua narica","Nasua narica"
"Nasua nasua","Nasua nasua"
"Ammotragus lervia","Ammotragus lervia"
"Rangifer tarandus","Rangifer tarandus"
"Aonyx cinerea","Aonyx cinereus"
"Procyon lotor","Procyon lotor"
"Pithecia pithecia","Pithecia pithecia"
"Lycaon pictus","Lycaon pictus"
"Callimico goeldii","Callimico goeldii"
"Macaca mulatta","Macaca mulatta"
"Macaca nemestrina","Macaca nemestrina"
"Callithrix geoffroyi","Callithrix geoffroyi"
"Macaca nigra","Macaca nigra"
"Macaca silenus","Macaca silenus"
"Macaca sylvanus","Macaca sylvanus"
"Vulpes lagopus","Vulpes lagopus"
"Mandrillus sphinx","Mandrillus sphinx"
"Macropus parma","Notamacropus parma"
"Axis axis","Axis axis"
"Papio hamadryas","Papio hamadryas"
"Papio papio","Papio papio"
"Atelerix albiventris","Atelerix albiventris"
"Colobus guereza","Colobus guereza"
"Chinchilla lanigera","Chinchilla lanigera"
"Cervus elaphus","Cervus elaphus"
"Kobus megaceros","Kobus megaceros"
"Trachypithecus cristatus","Trachypithecus cristatus"
"Cavia porcellus","Cavia porcellus"
"Symphalangus syndactylus","Symphalangus syndactylus"
"Pan troglodytes","Pan troglodytes"
"Dolichotis patagonum","Dolichotis patagonum"
"Pecari tajacu","Pecari tajacu"
"Pongo abelii","Pongo abelii"
"Eidolon helvum","Eidolon helvum"
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris"
"Pteropus rodricensis","Pteropus rodricensis"
"Rousettus aegyptiacus","Rousettus aegyptiacus"
"Cebuella pygmaea","Cebuella pygmaea"
"Desmodus rotundus","Desmodus rotundus"
"Leontopithecus chrysomelas","Leontopithecus chrysomelas"
"Octodon degus","Octodon degus"
"Myocastor coypus","Myocastor coypus"
"Macropus rufus","Osphranter rufus"
"Leontopithecus rosalia","Leontopithecus rosalia"
"Artibeus jamaicensis","Artibeus jamaicensis"
"Oryctolagus cuniculus","Oryctolagus cuniculus"
"Saguinus bicolor","Saguinus bicolor"
"Leptailurus serval","Leptailurus serval"
"Lynx lynx","Lynx lynx"
"Cynomys ludovicianus","Cynomys ludovicianus"
"Lynx rufus","Lynx rufus"
"Equus quagga","Equus quagga"
"Puma concolor","Puma concolor"
"Equus caballus","Equus caballus"
"Alouatta caraya","Alouatta caraya"
"Mustela nigripes","Mustela nigripes"
"Panthera leo","Panthera leo"
"Varecia rubra","Varecia rubra"
"Camelus bactrianus","Camelus bactrianus"
"Addax nasomaculatus","Addax nasomaculatus"
"Camelus dromedarius","Camelus dromedarius"
"Lama glama","Lama glama"
"Rattus norvegicus","Rattus norvegicus"
"Didelphis virginiana","Didelphis virginiana"
"Panthera onca","Panthera onca"
"Procavia capensis","Procavia capensis"
"Lama guanicoe","Lama guanicoe"
"Vicugna pacos","Vicugna pacos"
"Muntiacus reevesi","Muntiacus reevesi"
"Macropus giganteus","Macropus giganteus"
"Giraffa camelopardalis","Giraffa camelopardalis"
"Aepyceros melampus","Aepyceros melampus"
"Phacochoerus africanus","Phacochoerus africanus"
"Potamochoerus porcus","Potamochoerus porcus"
"Sus scrofa","Sus scrofa"
"Petaurus breviceps","Petaurus breviceps"
"Cercopithecus neglectus","Cercopithecus neglectus"
"Antilope cervicapra","Antilope cervicapra"
"Eudorcas thomsonii","Eudorcas thomsonii"
"Erythrocebus patas","Erythrocebus patas"
"Macaca fascicularis","Macaca fascicularis"
"Macaca fuscata","Macaca fuscata"
"Bison bison","Bison bison"
"Trachypithecus francoisi","Trachypithecus francoisi"
"Bos grunniens","Bos grunniens"
"Boselaphus tragocamelus","Boselaphus tragocamelus"
"Ateles geoffroyi","Ateles geoffroyi"
"Capra hircus","Capra hircus"
"Felis catus","Felis catus"
"Macaca leonina","Macaca leonina"
"Nomascus leucogenys","Nomascus leucogenys"
"Ovis aries","Ovis aries"
"Equus quagga","Equus quagga"
"Macaca leonina","Macaca leonina"
"Symphalangus syndactylus","Symphalangus syndactylus"
