species,order,phylogeny,sex,type,yi,vi,obs_id,sex_type
Aonyx cinerea,Carnivora,Aonyx_cinerea,male,hormonal,0.13723095620065764,0.026028951002548904,1,male_hormonal
Lemur catta,Primates,Lemur_catta,male,hormonal,-0.13777787546858108,0.06711746016085905,2,male_hormonal
Lycaon pictus,Carnivora,Lycaon_pictus,male,hormonal,0.07751281499901205,0.006610646567830457,3,male_hormonal
Procavia capensis,Hyracoidea,Procavia_capensis,male,hormonal,0.30250654739502597,0.02411459140940087,4,male_hormonal
Saguinus imperator,Primates,Saguinus_imperator,male,hormonal,0.018090995711798473,0.038277901054465734,5,male_hormonal
Saguinus oedipus,Primates,Saguinus_oedipus,male,hormonal,0.1972581927908557,0.05898842285675433,6,male_hormonal
Suricata suricatta,Carnivora,Suricata_suricatta,male,hormonal,-0.023959235210752338,0.023574099470450104,7,male_hormonal
Acinonyx jubatus,Carnivora,Acinonyx_jubatus,male,surgical,0.05526936741344137,0.008033395639934068,8,male_surgical
Addax nasomaculatus,Artiodactyla,Addax_nasomaculatus,male,surgical,0.16932351005856486,0.008365813303279096,9,male_surgical
Aepyceros melampus,Artiodactyla,Aepyceros_melampus,male,surgical,0.38650516907881255,0.014785497129462661,10,male_surgical
Alouatta caraya,Primates,Alouatta_caraya,male,surgical,0.039535365326627755,0.024404435660432034,11,male_surgical
Ammotragus lervia,Artiodactyla,Ammotragus_lervia,male,surgical,0.03677324163426351,0.005510698787368156,12,male_surgical
Antidorcas marsupialis,Artiodactyla,Antidorcas_marsupialis,male,surgical,-0.09719021066438192,0.026713544698914436,13,male_surgical
Antilope cervicapra,Artiodactyla,Antilope_cervicapra,male,surgical,0.5263184110602149,0.006321419447990867,14,male_surgical
Aonyx cinerea,Carnivora,Aonyx_cinerea,male,surgical,0.032505776299590804,0.006350057265116548,15,male_surgical
Arctictis binturong,Carnivora,Arctictis_binturong,male,surgical,0.04197798984861925,0.015245831759959385,16,male_surgical
Artibeus jamaicensis,Chiroptera,Artibeus_jamaicensis,male,surgical,0.5673772138417011,0.02326060170828306,17,male_surgical
Ateles geoffroyi,Primates,Ateles_geoffroyi,male,surgical,-0.05092304477791663,0.015110500681589045,18,male_surgical
Axis axis,Artiodactyla,Axis_axis,male,surgical,-0.571762893560894,0.11306662400796605,19,male_surgical
Bison bison,Artiodactyla,Bison_bison,male,surgical,0.04649816321911266,0.006760352279669177,20,male_surgical
Bos grunniens,Artiodactyla,Bos_grunniens,male,surgical,0.10886575249750095,0.02814019323320507,21,male_surgical
Bos javanicus,Artiodactyla,Bos_javanicus,male,surgical,-0.20240580101930816,0.040033793045237645,22,male_surgical
Bos taurus,Artiodactyla,Bos_taurus,male,surgical,0.3408218299535506,0.00868508481341071,23,male_surgical
Boselaphus tragocamelus,Artiodactyla,Boselaphus_tragocamelus,male,surgical,-0.07028240250447339,0.029849172292377615,24,male_surgical
Bubalus arnee,Artiodactyla,Bubalus_arnee,male,surgical,0.5875422328429637,0.020364961013415353,25,male_surgical
Callithrix jacchus,Primates,Callithrix_jacchus,male,surgical,0.36744430913568865,0.01655616010933966,26,male_surgical
Camelus bactrianus,Artiodactyla,Camelus_bactrianus,male,surgical,-0.13942821045015485,0.009266669437710477,27,male_surgical
Camelus dromedarius,Artiodactyla,Camelus_dromedarius,male,surgical,0.025035531973745234,0.013183649437335554,28,male_surgical
Canis latrans,Carnivora,Canis_latrans,male,surgical,0.3288537891581385,0.009848658901390934,29,male_surgical
Canis lupus,Carnivora,Canis_lupus,male,surgical,-0.02072772878229901,0.0018213911282341712,30,male_surgical
Capra aegagrus,Artiodactyla,Capra_aegagrus,male,surgical,0.30421559354305067,0.046678555358310975,31,male_surgical
Capra falconeri,Artiodactyla,Capra_falconeri,male,surgical,0.06996634453298042,0.024010108240062843,32,male_surgical
Capra hircus,Artiodactyla,Capra_hircus,male,surgical,0.02202531078635961,6.381714131838798e-4,33,male_surgical
Capra nubiana,Artiodactyla,Capra_nubiana,male,surgical,0.20072620512680373,0.016473917328909463,34,male_surgical
Carollia perspicillata,Chiroptera,Carollia_perspicillata,male,surgical,0.9809024523914077,0.044715250968272294,35,male_surgical
Cavia porcellus,Rodentia,Cavia_porcellus,male,surgical,0.10640835773587783,0.0060658042810200945,36,male_surgical
Cebus capucinus,Primates,Cebus_capucinus,male,surgical,0.8638890848233896,0.3089643975759571,37,male_surgical
Cervus canadensis,Artiodactyla,Cervus_canadensis,male,surgical,0.45641631695734247,0.022539342879069838,38,male_surgical
Cervus elaphus,Artiodactyla,Cervus_elaphus,male,surgical,-0.10838382817878076,0.013833546116229395,39,male_surgical
Cervus nippon,Artiodactyla,Cervus_nippon,male,surgical,-0.25136387560601653,0.024869856725368483,40,male_surgical
Chinchilla lanigera,Rodentia,Chinchilla_lanigera,male,surgical,0.11246640937465847,0.023397162775100983,41,male_surgical
Chlorocebus aethiops,Primates,Chlorocebus_aethiops,male,surgical,0.21501719076325862,0.06867052777350642,42,male_surgical
Colobus guereza,Primates,Colobus_guereza,male,surgical,0.01746352666159187,0.016115873833470056,43,male_surgical
Connochaetes taurinus,Artiodactyla,Connochaetes_taurinus,male,surgical,0.34782551731910977,0.010043427611592305,44,male_surgical
Cynomys ludovicianus,Rodentia,Cynomys_ludovicianus,male,surgical,-0.07074260581787042,0.009685469088320249,45,male_surgical
Dama dama,Artiodactyla,Dama_dama,male,surgical,0.1727064984800513,0.016713044803042382,46,male_surgical
Damaliscus pygargus,Artiodactyla,Damaliscus_pygargus,male,surgical,0.07824350766293833,0.026493028891269713,47,male_surgical
Desmodus rotundus,Chiroptera,Desmodus_rotundus,male,surgical,0.5172712067852482,0.015351123808528433,48,male_surgical
Didelphis virginiana,Didelphimorphia,Didelphis_virginiana,male,surgical,0.43954761254379965,0.015331937686921258,49,male_surgical
Dolichotis patagonum,Rodentia,Dolichotis_patagonum,male,surgical,0.2715301605106475,0.017229521811210194,50,male_surgical
Eidolon helvum,Chiroptera,Eidolon_helvum,male,surgical,0.19069498316434375,0.0040491672563073445,51,male_surgical
Equus_africanus,Perissodactyla,Equus_africanus,male,surgical,0.12991326054918187,0.00269501563173919,52,male_surgical
Equus caballus,Perissodactyla,Equus_caballus,male,surgical,0.24716183048928672,0.001997773053248892,53,male_surgical
Equus hemionus,Perissodactyla,Equus_hemionus,male,surgical,0.9853589080382315,0.20905024461526267,54,male_surgical
Equus quagga,Perissodactyla,Equus_quagga,male,surgical,0.40986212493982177,0.008219482021874197,55,male_surgical
Erythrocebus patas,Primates,Erythrocebus_patas,male,surgical,0.03867982398162913,0.02216896551726184,56,male_surgical
Eudorcas thomsonii,Artiodactyla,Eudorcas_thomsonii,male,surgical,0.7398948406295727,0.021146935932009225,57,male_surgical
Felis catus,Carnivora,Felis_catus,male,surgical,0.33927072386405044,0.007285750294922769,58,male_surgical
Giraffa camelopardalis,Artiodactyla,Giraffa_camelopardalis,male,surgical,0.21967461075907224,0.006447576649948728,59,male_surgical
Hemitragus jemlahicus,Artiodactyla,Hemitragus_jemlahicus,male,surgical,0.2557853837341298,0.022677540056341598,60,male_surgical
Hippotragus niger,Artiodactyla,Hippotragus_niger,male,surgical,0.021568720834942972,0.04209036058079399,61,male_surgical
Hydrochoerus hydrochaeris,Rodentia,Hydrochoerus_hydrochaeris,male,surgical,-0.049977679427933866,0.008682937417281596,62,male_surgical
Hystrix indica,Rodentia,Hystrix_indica,male,surgical,0.11816166128734651,0.033730186552495954,63,male_surgical
Kobus ellipsiprymnus,Artiodactyla,Kobus_ellipsiprymnus,male,surgical,0.3837924257626126,0.007179074294521689,64,male_surgical
Kobus leche,Artiodactyla,Kobus_leche,male,surgical,0.34501279700249043,0.037906649050726375,65,male_surgical
Kobus megaceros,Artiodactyla,Kobus_megaceros,male,surgical,0.12083722719061009,0.0141331584385379,66,male_surgical
Lama glama,Artiodactyla,Lama_glama,male,surgical,-0.07381364516517767,0.004159895056123324,67,male_surgical
Lama guanicoe,Artiodactyla,Lama_guanicoe,male,surgical,0.1749935161388658,0.014466218778609369,68,male_surgical
Lemur catta,Primates,Lemur_catta,male,surgical,0.06853422518833657,0.004140748386036787,69,male_surgical
Leptailurus serval,Carnivora,Leptailurus_serval,male,surgical,0.14824295267516044,0.009274930728100194,70,male_surgical
Lycaon pictus,Carnivora,Lycaon_pictus,male,surgical,-0.2537071622345142,0.018603055810626854,71,male_surgical
Lynx lynx,Carnivora,Lynx_lynx,male,surgical,-0.13624524205959285,0.005957414421790832,72,male_surgical
Lynx rufus,Carnivora,Lynx_rufus,male,surgical,0.1744968260219065,0.002883414336549645,73,male_surgical
Macaca fascicularis,Primates,Macaca_fascicularis,male,surgical,0.13030101689373974,0.04316875940205227,74,male_surgical
Macaca fuscata,Primates,Macaca_fuscata,male,surgical,0.2517686307078796,0.009272904179900699,75,male_surgical
Macaca leonina,Primates,Macaca_leonina,male,surgical,-0.1086445153201313,0.10847006169615718,76,male_surgical
Macaca mulatta,Primates,Macaca_mulatta,male,surgical,0.41792366889567617,0.010743763601081577,77,male_surgical
Macaca nemestrina,Primates,Macaca_nemestrina,male,surgical,0.25174182499415615,0.04147130926992204,78,male_surgical
Macaca nigra,Primates,Macaca_nigra,male,surgical,-0.4174571589264895,0.019630631943205915,79,male_surgical
Macaca silenus,Primates,Macaca_silenus,male,surgical,0.04874646808272115,0.012535492795790616,80,male_surgical
Macaca sylvanus,Primates,Macaca_sylvanus,male,surgical,0.32304345427611353,0.012098764219638273,81,male_surgical
Macaca tonkeana,Primates,Macaca_tonkeana,male,surgical,0.04233335839336975,0.033084031500010956,82,male_surgical
Macropus eugenii,Diprotodontia,Macropus_eugenii,male,surgical,0.4032130001742756,0.03789365381297648,83,male_surgical
Macropus fuliginosus,Diprotodontia,Macropus_fuliginosus,male,surgical,0.1714399317650361,0.02014099557371196,84,male_surgical
Macropus giganteus,Diprotodontia,Macropus_giganteus,male,surgical,0.8197860560525573,0.015906134893403097,85,male_surgical
Macropus parma,Diprotodontia,Macropus_parma,male,surgical,0.28532515467138025,0.03469494150704406,86,male_surgical
Macropus robustus,Diprotodontia,Macropus_robustus,male,surgical,0.0530816948857944,0.027252068217122574,87,male_surgical
Macropus rufogriseus,Diprotodontia,Macropus_rufogriseus,male,surgical,0.2019643819529823,0.0036656803885723862,88,male_surgical
Macropus rufus,Diprotodontia,Macropus_rufus,male,surgical,0.20640568798763118,0.0037998099196467914,89,male_surgical
Mephitis mephitis,Carnivora,Mephitis_mephitis,male,surgical,0.047960777683247524,0.006993726894543386,90,male_surgical
Mungos mungo,Carnivora,Mungos_mungo,male,surgical,0.0027965078457064495,0.03226668072912534,91,male_surgical
Muntiacus reevesi,Artiodactyla,Muntiacus_reevesi,male,surgical,0.4757770881258498,0.01325751890274389,92,male_surgical
Mustela nigripes,Carnivora,Mustela_nigripes,male,surgical,-0.04473463288324608,0.002544534820023464,93,male_surgical
Mustela putorius,Carnivora,Mustela_putorius,male,surgical,-0.06015376275445658,0.002400307272590532,94,male_surgical
Myocastor coypus,Rodentia,Myocastor_coypus,male,surgical,0.1123544770148167,0.045022449343047034,95,male_surgical
Nasua narica,Carnivora,Nasua_narica,male,surgical,-0.017211537284281247,0.012803083490238268,96,male_surgical
Nasua nasua,Carnivora,Nasua_nasua,male,surgical,0.12946904761383615,0.0060089318301652355,97,male_surgical
Nyctereutes procyonoides,Carnivora,Nyctereutes_procyonoides,male,surgical,-0.15042870557769988,0.03342883548011821,98,male_surgical
Octodon degus,Rodentia,Octodon_degus,male,surgical,-0.06013272490975894,0.011571067519193845,99,male_surgical
Odocoileus virginianus,Artiodactyla,Odocoileus_virginianus,male,surgical,0.2440915128690821,0.009604968073566523,100,male_surgical
Oryctolagus cuniculus,Lagomorpha,Oryctolagus_cuniculus,male,surgical,0.10859265249831306,0.0024784801907006574,101,male_surgical
Oryx dammah,Artiodactyla,Oryx_dammah,male,surgical,0.3587065464673273,0.00505335285277824,102,male_surgical
Oryx gazella,Artiodactyla,Oryx_gazella,male,surgical,0.3397488380433567,0.013861395485399523,103,male_surgical
Ovis aries,Artiodactyla,Ovis_aries,male,surgical,0.3178377603297685,0.0038674559724668107,104,male_surgical
Ovis canadensis,Artiodactyla,Ovis_canadensis,male,surgical,0.43759840027325303,0.016508697142724862,105,male_surgical
Pan troglodytes,Primates,Pan_troglodytes,male,surgical,0.4550672466441095,0.00966974479147136,106,male_surgical
Panthera leo,Carnivora,Panthera_leo,male,surgical,-0.13244690677475823,0.0029875866133286253,107,male_surgical
Panthera pardus,Carnivora,Panthera_pardus,male,surgical,-0.2447649048586762,0.018853434819999865,108,male_surgical
Panthera tigris,Carnivora,Panthera_tigris,male,surgical,-0.14010683308193564,0.0033643039363668342,109,male_surgical
Papio anubis,Primates,Papio_anubis,male,surgical,0.7721701500010173,0.09891583747372898,110,male_surgical
Papio hamadryas,Primates,Papio_hamadryas,male,surgical,0.3633211926732183,0.003836077000618852,111,male_surgical
Papio papio,Primates,Papio_papio,male,surgical,-0.0965873281149617,0.030713919237089382,112,male_surgical
Pecari tajacu,Artiodactyla,Pecari_tajacu,male,surgical,0.5505998285907904,0.009462344985632008,113,male_surgical
Petaurus breviceps,Diprotodontia,Petaurus_breviceps,male,surgical,-0.13754272490196467,0.010240718640497666,114,male_surgical
Petrogale xanthopus,Diprotodontia,Petrogale_xanthopus,male,surgical,0.42744136525544457,0.012394337783792824,115,male_surgical
Phacochoerus africanus,Artiodactyla,Phacochoerus_africanus,male,surgical,0.005264660661417633,0.022625282390834715,116,male_surgical
Phascolarctos cinereus,Diprotodontia,Phascolarctos_cinereus,male,surgical,0.8107533786572582,0.025679145601356333,117,male_surgical
Pithecia pithecia,Primates,Pithecia_pithecia,male,surgical,0.19500531043751052,0.04184210314818745,118,male_surgical
Potamochoerus porcus,Artiodactyla,Potamochoerus_porcus,male,surgical,0.11228818883288401,0.014805327098652043,119,male_surgical
Potos flavus,Carnivora,Potos_flavus,male,surgical,0.28928539199570336,0.02195272480475921,120,male_surgical
Procavia capensis,Hyracoidea,Procavia_capensis,male,surgical,0.059687502018895784,0.0212100441397568,121,male_surgical
Procyon lotor,Carnivora,Procyon_lotor,male,surgical,0.24502222753418967,0.004074253974953413,122,male_surgical
Puma concolor,Carnivora,Puma_concolor,male,surgical,0.16788230426397963,0.002929677331932127,123,male_surgical
Rangifer tarandus,Artiodactyla,Rangifer_tarandus,male,surgical,0.3435023723270913,0.015420103564765262,124,male_surgical
Rattus norvegicus,Rodentia,Rattus_norvegicus,male,surgical,-0.02312382943053968,0.004980479924945507,125,male_surgical
Rousettus aegyptiacus,Chiroptera,Rousettus_aegyptiacus,male,surgical,-0.4289495008775383,0.004582785740464905,126,male_surgical
Saguinus oedipus,Primates,Saguinus_oedipus,male,surgical,0.11310558299258189,0.012296349915891023,127,male_surgical
Saimiri boliviensis,Primates,Saimiri_boliviensis,male,surgical,-0.17509500745024398,0.02027497413778663,128,male_surgical
Saimiri sciureus,Primates,Saimiri_sciureus,male,surgical,0.34566847624770786,0.01935248408206799,129,male_surgical
Sapajus apella,Primates,Sapajus_apella,male,surgical,-0.04382635183476993,0.01046684493264234,130,male_surgical
Sapajus xanthosternos,Primates,Sapajus_xanthosternos,male,surgical,0.45893470019173943,0.19721501094302119,131,male_surgical
Suricata suricatta,Carnivora,Suricata_suricatta,male,surgical,0.01250751784900602,0.0021670169008020084,132,male_surgical
Sus scrofa,Artiodactyla,Sus_scrofa,male,surgical,0.1742841668472363,0.004112420608922468,133,male_surgical
Tapirus terrestris,Perissodactyla,Tapirus_terrestris,male,surgical,0.19482758415075277,0.0663372812237278,134,male_surgical
Tragelaphus angasii,Artiodactyla,Tragelaphus_angasii,male,surgical,0.10995960993659087,0.040270892600965384,135,male_surgical
Tragelaphus oryx,Artiodactyla,Tragelaphus_oryx,male,surgical,0.14246341123423756,0.004404068625212778,136,male_surgical
Tragelaphus strepsiceros,Artiodactyla,Tragelaphus_strepsiceros,male,surgical,-0.03256277854167336,0.01767092291428776,137,male_surgical
Ursus americanus,Carnivora,Ursus_americanus,male,surgical,0.0812128365015071,0.0051162352840896175,138,male_surgical
Ursus arctos,Carnivora,Ursus_arctos,male,surgical,0.05536689282886199,0.005958848295697405,139,male_surgical
Varecia variegata,Primates,Varecia_variegata,male,surgical,0.11570052230187211,0.010291821394269346,140,male_surgical
