species,phylogeny,category,yi,vi,obs_id,contraception,abs_yi,abs_yi2,abs_vi
Alouatta caraya,Alouatta_caraya,F normal/M surgical,-0.03953536532662773,0.025111886913896132,1,F normal/M contraception,0.03953536532662773,0.13035330667306325,0.009682947464804373
Aonyx cinerea,Aonyx_cinerea,F normal/M surgical,-0.03250577629959085,0.006202359575409453,2,F normal/M contraception,0.03250577629959085,0.06811518643023426,0.0026193064458229255
Ateles geoffroyi,Ateles_geoffroyi,F normal/M surgical,0.0509230447779167,0.013229226278469439,3,F normal/M contraception,0.0509230447779167,0.10062168055501469,0.0056976601702077275
Axis axis,Axis_axis,F normal/M surgical,0.5717628935608942,0.056925396269700196,4,F normal/M contraception,0.5717628935608942,0.5730751100215519,0.05542312099661279
Bison bison,Bison_bison,F normal/M surgical,-0.04649816321911259,0.006413249249110057,5,F normal/M contraception,0.04649816321911259,0.07437478060129366,0.0030437204423707244
Callithrix jacchus,Callithrix_jacchus,F normal/M surgical,-0.36744430913568865,0.01660629290018404,6,F normal/M contraception,0.36744430913568865,0.36760919637002637,0.016485091960570963
Canis latrans,Canis_latrans,F normal/M surgical,-0.32885378915813857,0.009949042500344856,7,F normal/M contraception,0.32885378915813857,0.32887947392974387,0.009932148771705231
Canis lupus,Canis_lupus,F normal/M surgical,0.020727728782299105,0.0018284386568730453,8,F normal/M contraception,0.020727728782299105,0.038049477231988836,8.10314679717959e-4
Capra hircus,Capra_hircus,F normal/M surgical,-0.022025310786359602,5.206478560231937e-4,9,F normal/M contraception,0.022025310786359602,0.026085619112977413,3.2530264675158975e-4
Cavia porcellus,Cavia_porcellus,F normal/M surgical,-0.10640835773587771,0.0057674788176011686,10,F normal/M contraception,0.10640835773587771,0.11196378665001183,0.004554327892638329
Cervus canadensis,Cervus_canadensis,F normal/M surgical,-0.4564163169573426,0.0220848595621044,11,F normal/M contraception,0.4564163169573426,0.45650443325041307,0.02200441636972897
Colobus guereza,Colobus_guereza,F normal/M surgical,-0.017463526661591913,0.015515702900779409,12,F normal/M contraception,0.017463526661591913,0.1003612961338722,0.0057482879025687545
Cynomys ludovicianus,Cynomys_ludovicianus,F normal/M surgical,0.07074260581787051,0.009505898927398398,13,F normal/M contraception,0.07074260581787051,0.09741651904337639,0.005020437022772487
Eidolon helvum,Eidolon_helvum,F normal/M surgical,-0.1906949831643436,0.004503403902263291,14,F normal/M contraception,0.1906949831643436,0.1907837389877012,0.004469545444185284
Erythrocebus patas,Erythrocebus_patas,F normal/M surgical,-0.03867982398162909,0.021454967640455135,15,F normal/M contraception,0.03867982398162909,0.1209216226521165,0.00832905759888409
Felis catus,Felis_catus,F normal/M surgical,-0.33927072386405044,0.006298477353975219,16,F normal/M contraception,0.33927072386405044,0.33927104771143174,0.006298257609999401
Giraffa camelopardalis,Giraffa_camelopardalis,F normal/M surgical,-0.21967461075907224,0.006486847577594487,17,F normal/M contraception,0.21967461075907224,0.21983064166236,0.006418271176059454
Hydrochoerus hydrochaeris,Hydrochoerus_hydrochaeris,F normal/M surgical,0.04997767942793375,0.00849012635002425,18,F normal/M contraception,0.04997767942793375,0.08407552076614039,0.003919201598927859
Lemur catta,Lemur_catta,F normal/M surgical,-0.06853422518833656,0.004004152646192858,19,F normal/M contraception,0.06853422518833656,0.0775133324768344,0.0026927759566942135
Leptailurus serval,Leptailurus_serval,F normal/M surgical,-0.14824295267516047,0.009538121962005002,20,F normal/M contraception,0.14824295267516047,0.15373780902774498,0.007878781055203486
Lycaon pictus,Lycaon_pictus,F normal/M surgical,0.25370716223451417,0.018700102456667637,21,F normal/M contraception,0.25370716223451417,0.2571001291737156,0.01696695020461647
Lynx lynx,Lynx_lynx,F normal/M surgical,0.13624524205959285,0.005993653757829803,22,F normal/M contraception,0.13624524205959285,0.1386891015082334,0.00532175286454578
Lynx rufus,Lynx_rufus,F normal/M surgical,-0.17449682602190647,0.0029126492523999566,23,F normal/M contraception,0.17449682602190647,0.17451449036602143,0.0029064841964072663
Macaca fascicularis,Macaca_fascicularis,F normal/M surgical,-0.13030101689373982,0.0428242921368997,24,F normal/M contraception,0.13030101689373982,0.19680558271684126,0.02107020975192692
Macaca fuscata,Macaca_fuscata,F normal/M surgical,-0.2517686307078796,0.008941371023963796,25,F normal/M contraception,0.2517686307078796,0.25199509165061307,0.008827288216483554
Macaca mulatta,Macaca_mulatta,F normal/M surgical,-0.4179236688956761,0.009690424987961781,26,F normal/M contraception,0.4179236688956761,0.4179241298579591,0.009690039693652203
Macaca nigra,Macaca_nigra,F normal/M surgical,0.4174571589264895,0.018837279085469526,27,F normal/M contraception,0.4174571589264895,0.4175476532560409,0.018761715884818893
Macaca silenus,Macaca_silenus,F normal/M surgical,-0.048746468082721046,0.012786194435500085,28,F normal/M contraception,0.048746468082721046,0.0984776851876948,0.0054645581061131
Macaca sylvanus,Macaca_sylvanus,F normal/M surgical,-0.32304345427611353,0.011199805350642265,29,F normal/M contraception,0.32304345427611353,0.32311056737402954,0.011156439952518441
Macaca tonkeana,Macaca_tonkeana,F normal/M surgical,-0.04233335839336987,0.03814847424960961,30,F normal/M contraception,0.04233335839336987,0.1594861031180864,0.014504770394678226
Macropus rufus,Macropus_rufus,F normal/M surgical,-0.2064056879876311,0.003665729432991172,31,F normal/M contraception,0.2064056879876311,0.20641581596535072,0.0036615483859969576
Mephitis mephitis,Mephitis_mephitis,F normal/M surgical,-0.04796077768324756,0.0065379732877139584,32,F normal/M contraception,0.04796077768324756,0.07554283119035382,0.0031314901394415592
Muntiacus reevesi,Muntiacus_reevesi,F normal/M surgical,-0.4757770881258497,0.012968011776593983,33,F normal/M contraception,0.4757770881258497,0.47577781681894077,0.012967318385108978
Mustela nigripes,Mustela_nigripes,F normal/M surgical,0.04473463288324616,0.002666220031236217,34,F normal/M contraception,0.04473463288324616,0.05576148310296011,0.0015580644125933202
Mustela putorius,Mustela_putorius,F normal/M surgical,0.0601537627544565,0.0024699340333390143,35,F normal/M contraception,0.0601537627544565,0.06561253454027555,0.0017834045180596001
Nasua nasua,Nasua_nasua,F normal/M surgical,-0.12946904761383626,0.0056046790503585095,36,F normal/M contraception,0.12946904761383626,0.13201718540213744,0.004938376098889973
Octodon degus,Octodon_degus,F normal/M surgical,0.060132724909758926,0.012235243283998722,37,F normal/M contraception,0.060132724909758926,0.1009859351136522,0.005653028798292692
Oryctolagus cuniculus,Oryctolagus_cuniculus,F normal/M surgical,-0.10859265249831311,0.0021881811348784435,38,F normal/M contraception,0.10859265249831311,0.10891429723598119,0.0021182211690901746
Pan troglodytes,Pan_troglodytes,F normal/M surgical,-0.45506724664410947,0.009514975910031614,39,F normal/M contraception,0.45506724664410947,0.45506730621463976,0.009514921692833663
Panthera leo,Panthera_leo,F normal/M surgical,0.13244690677475834,0.0029254889424537734,40,F normal/M contraception,0.13244690677475834,0.1327007393920835,0.00285818582144964
Panthera pardus,Panthera_pardus,F normal/M surgical,0.24476490485867625,0.018807853315638303,41,F normal/M contraception,0.24476490485867625,0.2488332029516683,0.016799749074929
Panthera tigris,Panthera_tigris,F normal/M surgical,0.14010683308193572,0.0033310267138333075,42,F normal/M contraception,0.14010683308193572,0.14039573473141748,0.0032499890593081578
