species,Species,Solitary,Social monogamy,Group living,Paternal Care,Testesmass,Bodymass,common,Class,Order,Family,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp,unknown
Ateles geoffroyi,Ateles geoffroyi,No,No,Yes,No,13.4,7940,Black-handed spider monkey,Mammalia,Primates,Atelidae,Male,Surgical,36,157,3,25.52004075,2.487459775,19.66670842,3.370048004,0.411836498,0.279394645,-0.151474556,0.938077923,0.770637814
Macaca leonina,Macaca leonina,No,No,Yes,No,NA,NA,Northern pig-tailed macaque,Mammalia,Primates,Cercopithecidae,Male,Surgical,46,60,1,14.70195751,2.922338326,11.40044259,2.74248203,0.271866451,0.308095327,-0.347855732,0.871954201,0.775437052
Rousettus aegyptiacus,Rousettus aegyptiacus,No,No,Yes,No,3.5,142,Egyptian fruit bat,Mammalia,Chiroptera,Pteropodidae,Male,Surgical,76,985,1,9.052400139,0.250128085,7.383516428,0.648451274,0.340539477,0.144737576,0.054152412,0.618369878,0.815641854
Bos grunniens,Bos grunniens,Yes,No,No,No,NA,NA,Domestic yak (breed unspecified),Mammalia,Artiodactyla,Bovidae,Male,Surgical,32,325,2,10.34083915,0.492923379,8.476973667,1.353161547,0.342296638,0.263154278,-0.198718955,0.84407839,0.819756844
Macaca nigra,Macaca nigra,No,No,Yes,No,NA,NA,Sulawesi crested macaque,Mammalia,Primates,Cercopithecidae,Male,Surgical,58,150,4,10.86928813,0.743666956,8.971174905,1.119533606,0.297525498,0.209951838,-0.117435991,0.704068611,0.825369132
Camelus dromedarius,NA,NA,NA,NA,NA,121.7,800000,Dromedary (domestic),Mammalia,Artiodactyla,Camelidae,Male,Surgical,72,443,4,15.67564027,0.575978115,13.01034953,1.333987047,0.433981133,0.236750671,-0.041618246,0.879056603,0.829972448
Vulpes zerda,Vulpes zerda,Yes,No,No,No,NA,NA,Fennec fox,Mammalia,Carnivora,Canidae,Male,Surgical,40,478,3,7.367934832,0.17776294,6.240258921,0.519112113,0.437085265,0.204890981,0.026780709,0.831249153,0.84694817
Mungos mungo,Mungos mungo,No,No,Yes,Yes,NA,NA,Banded mongoose,Mammalia,Carnivora,Herpestidae,Male,Surgical,48,710,1,9.39169809,0.27878079,8.017583752,1.048326515,0.312062,0.244527808,-0.192377756,0.763589792,0.853688404
Nasua narica,Nasua narica,No,No,Yes,No,NA,NA,White-nosed coati,Mammalia,Carnivora,Procyonidae,Male,Surgical,34,122,4,8.582960905,0.471674658,7.485377024,0.698612689,0.309345329,0.225494026,-0.13603927,0.740895731,0.872120601
Zalophus californianus,Zalophus californianus,No,No,Yes,No,NA,NA,California sea lion,Mammalia,Carnivora,Otariidae,Male,Surgical,36,296,9,12.48344459,0.506133562,10.91315172,1.144904903,0.281474849,0.211592202,-0.145567728,0.684304345,0.87420997
