"species","Female_None_N","Female_None_Mean","Female_None_SE","Female_Hormonal_N","Female_Hormonal_Mean","Female_Hormonal_SE","Female_Surgical_N","Female_Surgical_Mean","Female_Surgical_SE","Male_None_N","Male_None_Mean","Male_None_SE","Male_Surgical_N","Male_Surgical_Mean","Male_Surgical_SE","Male_Hormonal_N","Male_Hormonal_Mean","Male_Hormonal_SE"
"Addax nasomaculatus",935,8.66122078287527,0.188521435930189,37,9.40385595638562,0.884648762784232,NA,NA,NA,844,7.71715147282425,0.255251107021693,82,8.78326395679145,0.705458550987572,NA,NA,NA
"Aepyceros melampus",NA,NA,NA,NA,NA,NA,NA,NA,NA,485,4.42996635616665,0.218392003972169,120,7.28633613249831,0.638378354452148,NA,NA,NA
"Alouatta caraya",111,13.2041255393546,1.05481937657171,93,17.4604286008953,1.36657664207158,NA,NA,NA,227,13.8451641907328,0.660425296979183,38,14.7200697489285,1.5985018827008,NA,NA,NA
"Ammotragus lervia",NA,NA,NA,NA,NA,NA,NA,NA,NA,2019,10.2988942149169,0.197200459958485,131,9.73487038951005,0.57405712393333,NA,NA,NA
"Antilope cervicapra",NA,NA,NA,NA,NA,NA,NA,NA,NA,2336,4.9366987156131,0.114975732210028,290,8.12962703213525,0.484775821350435,NA,NA,NA
"Aonyx cinereus",1307,9.37489566945011,0.190018858430879,113,10.955787339838,0.641345479234479,NA,NA,NA,1355,10.0215737656151,0.209123255616216,93,10.0985100323881,0.678153350535012,42,7.85684404912746,0.771383534056327
"Atelerix albiventris",984,3.01674532974097,0.0645511253736584,NA,NA,NA,30,2.48022439471112,0.304181040355535,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ateles geoffroyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,157,25.5200407504934,2.48745977533183,36,19.6667084195579,3.37004800369423,NA,NA,NA
"Axis axis",634,9.84168910244484,0.906734222200582,37,5.86681398223335,0.968249607683323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bison bison",NA,NA,NA,NA,NA,NA,NA,NA,NA,624,10.6254494128302,0.406090318534948,83,12.2353497025187,0.953334003793739,NA,NA,NA
"Bos grunniens",NA,NA,NA,NA,NA,NA,NA,NA,NA,325,10.3408391507817,0.492923379333222,32,8.47697366679509,1.3531615469043,NA,NA,NA
"Boselaphus tragocamelus",NA,NA,NA,NA,NA,NA,NA,NA,NA,563,7.6837355613537,0.456667204718327,59,6.96796102445454,1.18139176212822,NA,NA,NA
"Callimico goeldii",498,8.47095645806481,0.29844937539631,54,9.59027513167039,1.03039212521221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callithrix geoffroyi",537,6.46440169320861,0.250107247083719,70,5.92015210885332,0.638299339076042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callithrix jacchus",1458,6.68826098743214,0.174713633007936,126,7.10445860520545,0.62832561141601,NA,NA,NA,1702,7.24813284679739,0.17684342621448,125,9.06800707975122,0.821018919357986,NA,NA,NA
"Camelus bactrianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,587,13.3278676608783,0.379641666832881,80,12.4563527016553,1.01299660916615,NA,NA,NA
"Camelus dromedarius",NA,NA,NA,NA,NA,NA,NA,NA,NA,443,15.6756402676381,0.575978115314126,72,13.010349534785,1.33398704676051,NA,NA,NA
"Canis latrans",NA,NA,NA,NA,NA,NA,NA,NA,NA,150,10.160235631341,0.446833666988426,51,11.551025095402,0.617268160977028,NA,NA,NA
"Canis lupus",405,8.02622557694134,0.244354800992039,NA,NA,NA,92,8.76992675321605,0.499198052851073,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capra hircus",NA,NA,NA,NA,NA,NA,NA,NA,NA,1858,8.24985783889624,0.13179915886101,503,8.01963192594205,0.218909916715428,NA,NA,NA
"Cavia porcellus",3222,3.84140800380162,0.0445467135653456,NA,NA,NA,42,3.07183678698995,0.275982936061581,1379,3.71308930079662,0.0699043650152659,144,3.84777416309585,0.210857923150059,NA,NA,NA
"Cebuella pygmaea",961,5.65236960153213,0.158250089579888,47,6.83888324093838,0.8868751705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cebus capucinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,131,19.8963447921385,1.55771461349042,43,27.5799737695815,2.77788657383557,NA,NA,NA
"Cercopithecus neglectus",193,16.0055689454525,0.800574324371206,57,16.1928881666412,1.43422451150086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
