species,Female_Hormonal_Contra_N,Female_Hormonal_Contra_Mean,Female_Hormonal_Contra_SE,Female_Hormonal_NoContra_N,Female_Hormonal_NoContra_Mean,Female_Hormonal_NoContra_SE,Female_Surgical_Contra_N,Female_Surgical_Contra_Mean,Female_Surgical_Contra_SE,Female_Surgical_NoContra_N,Female_Surgical_NoContra_Mean,Female_Surgical_NoContra_SE,Male_Hormonal_Contra_N,Male_Hormonal_Contra_Mean,Male_Hormonal_Contra_SE,Male_Hormonal_NoContra_N,Male_Hormonal_NoContra_Mean,Male_Hormonal_NoContra_SE,Male_Surgical_Contra_N,Male_Surgical_Contra_Mean,Male_Surgical_Contra_SE,Male_Surgical_NoContra_N,Male_Surgical_NoContra_Mean,Male_Surgical_NoContra_SE
Addax nasomaculatus,37,9.403855956,0.884648763,935,8.661220783,0.188521436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,8.783263957,0.705458551,844,7.717151473,0.255251107
Aepyceros melampus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,7.286336132,0.638378354,485,4.429966356,0.218392004
Alouatta caraya,93,17.4604286,1.366576642,111,13.20412554,1.054819377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,14.72006975,1.598501883,227,13.84516419,0.660425297
Ammotragus lervia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,9.73487039,0.574057124,2019,10.29889421,0.19720046
Antilope cervicapra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,8.129627032,0.484775821,2336,4.936698716,0.114975732
Aonyx cinereus,113,10.95578734,0.641345479,1307,9.374895669,0.190018858,NA,NA,NA,NA,NA,NA,42,7.856844049,0.771383534,545,6.88447476,0.20099329,93,10.09851003,0.678153351,1355,10.02157377,0.209123256
Atelerix albiventris,NA,NA,NA,NA,NA,NA,30,2.480224395,0.30418104,984,3.01674533,0.064551125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles geoffroyi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,19.66670842,3.370048004,157,25.52004075,2.487459775
Axis axis,37,5.866813982,0.968249608,634,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bison bison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,12.2353497,0.953334004,624,10.62544941,0.406090319
Bos grunniens,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,8.476973667,1.353161547,325,10.34083915,0.492923379
Boselaphus tragocamelus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,6.967961024,1.181391762,563,7.683735561,0.456667205
