ZIMSSpecies,vertlife.treename
Addax nasomaculatus,Addax_nasomaculatus
Aepyceros melampus,Aepyceros_melampus
Alouatta caraya,Alouatta_caraya
Ammotragus lervia,Ammotragus_lervia
Antilope cervicapra,Antilope_cervicapra
Aonyx cinereus,Aonyx_cinerea
Atelerix albiventris,Atelerix_albiventris
Ateles geoffroyi,Ateles_geoffroyi
Axis axis,Axis_axis
Bison bison,Bison_bison
Bos grunniens,Bos_grunniens
Boselaphus tragocamelus,Boselaphus_tragocamelus
Callimico goeldii,Callimico_goeldii
Callithrix geoffroyi,Callithrix_geoffroyi
Callithrix jacchus,Callithrix_jacchus
Camelus bactrianus,Camelus_bactrianus
Camelus dromedarius,Camelus_dromedarius
Canis latrans,Canis_latrans
Canis lupus,Canis_lupus
Capra hircus,Capra_hircus
Cavia porcellus,Cavia_porcellus
Cebuella pygmaea,Cebuella_pygmaea
Cebus capucinus,Cebus_capucinus
Cercopithecus neglectus,Cercopithecus_neglectus
Cervus elaphus,Cervus_elaphus
Chinchilla lanigera,Chinchilla_lanigera
Colobus guereza,Colobus_guereza
Cynomys ludovicianus,Cynomys_ludovicianus
Dama dama,Dama_dama
Desmodus rotundus,Desmodus_rotundus
Didelphis virginiana,Didelphis_virginiana
Dolichotis patagonum,Dolichotis_patagonum
Eidolon helvum,Eidolon_helvum
Equus caballus,Equus_caballus
Erythrocebus patas,Erythrocebus_patas
Eudorcas thomsonii,Eudorcas_thomsonii
Eulemur macaco,Eulemur_macaco
Felis catus,Felis_catus
Giraffa camelopardalis,Giraffa_camelopardalis
Hemitragus jemlahicus,Hemitragus_jemlahicus
Hydrochoerus hydrochaeris,Hydrochoerus_hydrochaeris
Kobus megaceros,Kobus_megaceros
Lama glama,Lama_glama
Lama guanicoe,Lama_guanicoe
Lemur catta,Lemur_catta
Leontopithecus chrysomelas,Leontopithecus_chrysomelas
Leontopithecus rosalia,Leontopithecus_rosalia
Leptailurus serval,Leptailurus_serval
Lycaon pictus,Lycaon_pictus
Lynx lynx,Lynx_lynx
Lynx rufus,Lynx_rufus
Macaca fascicularis,Macaca_fascicularis
Macaca fuscata,Macaca_fuscata
Macaca mulatta,Macaca_mulatta
Macaca nemestrina,Macaca_nemestrina
Macaca nigra,Macaca_nigra
Macaca silenus,Macaca_silenus
Macaca sylvanus,Macaca_sylvanus
Macropus fuliginosus,Macropus_fuliginosus
Macropus giganteus,Macropus_giganteus
Mandrillus sphinx,Mandrillus_sphinx
Mephitis mephitis,Mephitis_mephitis
Mungos mungo,Mungos_mungo
Muntiacus reevesi,Muntiacus_reevesi
Mustela nigripes,Mustela_nigripes
Myocastor coypus,Myocastor_coypus
Nasua narica,Nasua_narica
Nasua nasua,Nasua_nasua
Nomascus leucogenys,Nomascus_leucogenys
Notamacropus parma,Macropus_parma
Notamacropus rufogriseus,Macropus_rufogriseus
Octodon degus,Octodon_degus
Odocoileus virginianus,Odocoileus_virginianus
Oryctolagus cuniculus,Oryctolagus_cuniculus
Oryx dammah,Oryx_dammah
Osphranter rufus,Macropus_rufus
Ovis aries,Ovis_aries
Pan troglodytes,Pan_troglodytes
Panthera leo,Panthera_leo
Panthera onca,Panthera_onca
Panthera tigris,Panthera_tigris
Papio hamadryas,Papio_hamadryas
Papio papio,Papio_papio
Pecari tajacu,Pecari_tajacu
Petaurus breviceps,Petaurus_breviceps
Phacochoerus africanus,Phacochoerus_africanus
Pithecia pithecia,Pithecia_pithecia
Pongo abelii,Pongo_abelii
Potamochoerus porcus,Potamochoerus_porcus
Procavia capensis,Procavia_capensis
Procyon lotor,Procyon_lotor
Pteropus rodricensis,Pteropus_rodricensis
Puma concolor,Puma_concolor
Rangifer tarandus,Rangifer_tarandus
Rattus norvegicus,Rattus_norvegicus
Rousettus aegyptiacus,Rousettus_aegyptiacus
Saguinus bicolor,Saguinus_bicolor
Saguinus oedipus,Saguinus_oedipus
Saimiri sciureus,Saimiri_sciureus
Sapajus apella,Sapajus_apella
Suricata suricatta,Suricata_suricatta
Sus scrofa,Sus_scrofa
Trachypithecus cristatus,Trachypithecus_cristatus
Trachypithecus francoisi,Trachypithecus_francoisi
Tragelaphus oryx,Tragelaphus_oryx
Tragelaphus strepsiceros,Tragelaphus_strepsiceros
Ursus americanus,Ursus_americanus
Ursus arctos,Ursus_arctos
Varecia rubra,Varecia_rubra
Vicugna pacos,Vicugna_pacos
Vulpes lagopus,Vulpes_lagopus
Vulpes vulpes,Vulpes_vulpes
Vulpes zerda,Vulpes_zerda
Zalophus californianus,Zalophus_californianus
