Species,Primate,Sex,Type,NnoContra,NContraBef,NContraAft,minAge,LifeExpNoContra,SEnoContra,LifeExpContraBef,SEcontraBef,LifeExpContraAft,SEcontraAft,pHazGammaBef,pHazGammaBefSE,pHazGammaBefLow,pHazGammaBefUpp,pHazGammaAft,pHazGammaAftSE,pHazGammaAftLow,pHazGammaAftUpp,Include,Sdnocontr,Sdbefore,Sdafter
Addax nasomaculatus,No,Male,Surgical,844,48,34,2,7.711573103,0.252643854,9.380144085,0.980993294,8.16051412,0.990722995,-0.339849965,0.203223493,-0.746967658,0.046766296,-0.09142965,0.21048512,-0.514546526,0.296855871,1,7.339727928,6.796520912,5.776858122
Aepyceros melampus,No,Male,Surgical,485,80,40,1,4.446430966,0.216307203,7.926811474,0.812323992,5.932741337,0.925168935,-0.749682879,0.159174418,-1.073353466,-0.435999415,-0.34010792,0.208696442,-0.756823272,0.05602481,1,4.763672008,7.265646663,5.851282109
Ammotragus lervia,No,Male,Surgical,2018,86,46,1,10.29429994,0.189020722,10.05169905,0.688526613,9.116707328,1.006821797,0.051611022,0.153462679,-0.253700002,0.34477492,0.252260991,0.220462343,-0.208496184,0.679096921,1,8.491218165,6.385133134,6.82859766
Antilope cervicapra,No,Male,Surgical,2336,145,145,1,4.937346695,0.113814826,8.394636354,0.705279833,7.890683427,0.649172121,-0.672057971,0.118073125,-0.906668623,-0.443215037,-0.586855075,0.115328646,-0.827036784,-0.368279403,1,5.500919083,8.492693818,7.817067496
Aonyx cinereus,No,Male,Surgical,1353,47,48,1,10.02268793,0.211635355,10.57110647,0.945664491,9.672409344,0.881133547,-0.114431068,0.202107659,-0.530578603,0.273406386,0.073500163,0.187460861,-0.323717703,0.417152464,1,7.784614651,6.483149121,6.104672289
Bison bison,No,Male,Surgical,624,54,29,2,10.62364402,0.415128561,13.07884597,1.174015609,10.53690394,1.594405838,-0.393672186,0.199016386,-0.801335069,-0.017476224,0.01390482,0.261658949,-0.525377656,0.511498982,1,10.36990813,8.627217575,8.586138207
Boselaphus tragocamelus,No,Male,Surgical,563,29,30,1,7.712887087,0.44870712,9.095633184,2.153427439,5.74448782,1.359671804,-0.162831981,0.266171697,-0.722628158,0.319076357,0.296696524,0.218152402,-0.147582124,0.694421329,1,10.64675251,11.59656166,7.44722918
Callithrix jacchus,Yes,Male,Surgical,1696,32,99,1,7.208465248,0.167630421,8.236732014,1.383555116,10.24995078,1.030360029,-0.179493256,0.246733705,-0.69318412,0.267520189,-0.525062456,0.162338531,-0.852837535,-0.214376414,1,6.903443259,7.826569638,10.25195285
Camelus dromedarius,No,Male,Surgical,443,38,34,4,15.64011121,0.557670444,13.79945296,1.834648214,12.51813554,1.8409276,0.300291526,0.312005098,-0.332203453,0.881560547,0.508071366,0.312022036,-0.124200161,1.062614903,1,11.73760503,11.30953114,10.73436028
Capra hircus,No,Male,Surgical,1857,397,107,2,8.252815471,0.129457293,8.111666597,0.240370598,7.702668091,0.457631615,0.041375443,0.079151319,-0.121740938,0.193974246,0.161777094,0.138926701,-0.120970304,0.424360663,1,5.578693144,4.78935024,4.733778235
