"Species","meanRint","SEint","meanRcon","SEcon","leFemaleInt","SEleFemaleInt","leMaleInt","SEleMaleInt","leMaleCon","SEleMaleCon","NFemaleInt","NMaleInt","NMaleCon"
"Addax nasomaculatus",-0.239318592839448,0.0403392814833154,-0.120998848757409,0.0779146137637403,8.68626277381428,0.188518921715239,6.83989782706543,0.233717311435589,7.71591233918219,0.575889876596792,935,844,82
"Alouatta caraya",-0.0635295664513967,0.0918948826257858,-0.00729803711072967,0.132133422790613,13.2291973326607,1.05481252405935,12.3899523597257,0.596319302723092,13.1632701524522,1.37992488263166,111,227,38
"Aonyx cinereus",0.0665203772087122,0.0288098272904869,0.0721269222443242,0.0698055717441277,9.3999459163404,0.190016584310167,10.0466242880815,0.209120999017825,10.123560246316,0.678145945357602,1307,1355,93
"Callithrix jacchus",0.0801431416098874,0.0358096918639036,0.299699684869155,0.094556163983389,6.71334598821709,0.174711140850773,7.27320964991172,0.176840533149709,9.09306311781245,0.82101114121459,1458,1702,125
"Cavia porcellus",-0.033856371879704,0.0215965165019365,0.000234492651998175,0.0553960486843899,3.86648341768058,0.0445444013255939,3.73817590575672,0.0699000164354679,3.87285534174144,0.210848825567508,3222,1379,144
"Cynomys ludovicianus",0.0309004009685259,0.0428268628999754,-0.0532220808187306,0.0902946437762513,5.19378763543065,0.141028947605488,5.35763284181199,0.174121207108962,4.94142433541409,0.431377326135326,1277,1108,116
"Eidolon helvum",-0.17553443482402,0.0399654020343468,-0.0622165629362273,0.0541655936155942,16.7708073763011,0.4355396916129,14.0722377533841,0.414992299359664,15.7719365851413,0.756482989323122,548,493,164
"Erythrocebus patas",-0.135163697578655,0.0727879165673153,-0.203152609803495,0.137349140631311,11.9686758876984,0.50762331763851,10.464149894686,0.615048962550921,9.84091952606014,1.26834893014438,305,233,36
"Hydrochoerus hydrochaeris",-0.0853590175393765,0.0282172742832988,-0.105862690451432,0.0719333834257017,6.11877342592904,0.108180336617582,5.61861664323761,0.122835420146719,5.51644702910727,0.381592914864883,1867,1513,121
"Lemur catta",0.0624332777393206,0.0208988408522451,0.158712266465107,0.0502676895432329,14.7705647795249,0.224641343617312,15.7219667669158,0.2277378938245,17.3287674090891,0.825958253939317,3377,3789,429
"Leptailurus serval",-0.012184676450432,0.0452071944844412,0.165793360840054,0.0647361436556982,11.5276543498997,0.365506814866751,11.3876371842897,0.347877469508221,13.6215298156423,0.772395388509151,516,439,62
"Lynx rufus",-0.066589491131639,0.0503667125987804,0.0869330975203747,0.0584911877832312,12.3243502769841,0.453032951586416,11.529217895771,0.391183904422462,13.4488035510823,0.618722399379061,188,233,76
"Macaca fuscata",-0.111614950461101,0.0648351976751935,0.00910479771854867,0.0932802383400076,15.790975000144,0.535673736117162,14.1376947829512,0.801099417830324,15.985950494627,1.38893140926295,398,261,95
"Macaca nigra",-0.215509423946062,0.0924547525686028,-0.412344212614568,0.139935610758171,13.5084554618726,0.83171008241669,10.8943857955057,0.743657163407348,8.99630855753395,1.11950487879142,158,150,58
"Macaca silenus",-0.236893457007724,0.0681122128143577,-0.179098865526419,0.121430066765393,15.917298119356,0.663295377435193,12.5678377059251,0.687894617681441,13.3835450655004,1.53348779065413,305,263,46
"Macaca sylvanus",-0.117414703133488,0.0630348857098029,0.251895722849347,0.0839647446325917,12.9506704228695,0.517474258372106,11.5211113969686,0.576865830153957,16.693091591891,1.25421136624575,494,389,235
"Mandrillus sphinx",-0.173377726158243,0.0574533186507782,-0.145352291693054,0.0884404679098984,15.3347964730395,0.619360638222866,12.8938951970403,0.522857337908253,13.289709590499,1.03206640093144,375,393,81
"Mustela nigripes",-0.132064369041741,0.0545069137653225,-0.111734332017973,0.080558226475551,2.21520550454705,0.0932653063812505,1.9405807737476,0.0670346648730726,1.98392199458902,0.136148124253407,203,423,52
