Species,Sex,Type,Contra_Behavioural_N,Contra_InfectDisease_N,Contra_NonInfectDisease_N,Contra_ChronDisease_N,Contra_deathAtBirth_N,Contra_Multiple_N,Contra_Other_N,Contra_Total_N,noContra_Behavioural_N,noContra_InfectDisease_N,noContra_NonInfectDisease_N,noContra_ChronDisease_N,noContra_deathAtBirth_N,noContra_Multiple_N,noContra_Other_N,noContra_Total_N,Contra_Behavioural_Low,Contra_InfectDisease_Low,Contra_NonInfectDisease_Low,Contra_ChronDisease_Low,Contra_deathAtBirth_Low,Contra_Multiple_Low,Contra_Other_Low,noContra_Behavioural_Low,noContra_InfectDisease_Low,noContra_NonInfectDisease_Low,noContra_ChronDisease_Low,noContra_deathAtBirth_Low,noContra_Multiple_Low,noContra_Other_Low,Contra_Behavioural_Med,Contra_InfectDisease_Med,Contra_NonInfectDisease_Med,Contra_ChronDisease_Med,Contra_deathAtBirth_Med,Contra_Multiple_Med,Contra_Other_Med,noContra_Behavioural_Med,noContra_InfectDisease_Med,noContra_NonInfectDisease_Med,noContra_ChronDisease_Med,noContra_deathAtBirth_Med,noContra_Multiple_Med,noContra_Other_Med,Contra_Behavioural_Upp,Contra_InfectDisease_Upp,Contra_NonInfectDisease_Upp,Contra_ChronDisease_Upp,Contra_deathAtBirth_Upp,Contra_Multiple_Upp,Contra_Other_Upp,noContra_Behavioural_Upp,noContra_InfectDisease_Upp,noContra_NonInfectDisease_Upp,noContra_ChronDisease_Upp,noContra_deathAtBirth_Upp,noContra_Multiple_Upp,noContra_Other_Upp
Addax nasomaculatus,Female,Hormonal,1,0,3,1,1,0,4,10,18,14,21,7,15,0,149,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Addax nasomaculatus,Male,Surgical,4,2,3,1,0,0,13,23,35,14,8,4,0,0,125,186,0.111111111,0,0,0,NA,0,0.125,0.122926517,0.052229624,0,0,NA,0,0.446839568,0.17037037,0,0,0,NA,0,0.2890625,0.419293331,0.18993058,0.020833333,0.052083333,NA,0,0.743115649,0.274074074,0.2,0.076923077,0.142857143,NA,0,0.602683738,0.502046592,0.23996428,0.102430556,0.09,NA,0,0.879218566
Aepyceros melampus,Male,Surgical,7,9,0,0,0,0,16,32,51,20,9,1,0,0,104,185,0,0.085066163,0,0,NA,0,0,0.124385569,0.036873407,0.007407407,0,NA,0,0.202270955,0.085714286,0.121663516,0,0,NA,0,0.045454545,0.332252656,0.111598123,0.045384863,0,NA,0,0.463568403,0.294783543,0.279489603,0,0,NA,0,0.395369618,0.533189293,0.359585008,0.194320478,0.058823529,NA,0,0.830310872
Alouatta caraya,Female,Hormonal,1,3,1,2,0,0,10,17,0,6,4,1,3,0,16,30,0,0,0,0,0,0,0.209876543,0,0.281808036,0.090909091,0,0.066666667,0,0.301923077,0.142857143,0.222222222,0,0.220779221,0,0,0.377777778,0,0.476318359,0.090909091,0.142857143,0.265,0,0.749287749,0.142857143,0.377777778,0.25,0.220779221,0,0,0.769547325,0,0.476318359,0.772727273,0.142857143,0.265,0,0.874643875
Alouatta caraya,Male,Surgical,0,1,5,0,0,0,0,6,0,5,6,8,0,0,32,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ammotragus lervia,Male,Surgical,8,0,6,7,0,0,20,41,50,29,16,9,0,0,209,313,0.041666667,0,0.047619048,0.043478261,NA,0,0.167175663,0.129801705,0.058544022,0.023899639,0.015467626,NA,0,0.433363742,0.274186851,0,0.145502646,0.194508009,NA,0,0.368369704,0.307241361,0.176832623,0.062979693,0.03921223,NA,0,0.762861935,0.422311984,0,0.402449402,0.289271773,NA,0,0.673833133,0.42433347,0.357515013,0.301783754,0.193465868,NA,0,0.955487517
Antilope cervicapra,Male,Surgical,21,13,10,4,0,0,38,86,125,43,25,9,0,0,372,574,0.018867925,0.087183171,0.018181818,0,NA,0,0.019230769,0.105654541,0.041100499,0.002710027,0,NA,0,0.300088418,0.260790615,0.217286215,0.101996,0.03030303,NA,0,0.188441371,0.28869305,0.103645269,0.022468447,0,NA,0,0.59887817,0.356914913,0.283994776,0.101996,0.063740857,NA,0,0.575189636,0.509759822,0.206068702,0.150528029,0.089657957,NA,0,0.878498628
Aonyx cinereus,Female,Hormonal,0,2,6,3,0,0,11,22,21,19,49,19,1,0,183,292,0,0,0.0625,0,0,0,0.0625,0.092474657,0.046728426,0.033821128,0.007042254,0.006289308,0,0.369343872,0,0.125506073,0.114583333,0,0,0,0.283088235,0.116205347,0.109173705,0.159983061,0.095660354,0.006289308,0,0.643714499,0,0.125506073,0.4421875,0.427083333,0,0,0.586198116,0.185831203,0.158005329,0.437307243,0.198111392,0.006289308,0,0.853605653
Aonyx cinereus,Male,Hormonal,0,0,0,1,0,0,1,2,16,9,42,14,0,0,94,175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aonyx cinereus,Male,Surgical,2,0,9,0,0,0,18,29,34,18,43,18,0,0,163,276,0.076923077,0,0.083333333,0,NA,0,0,0.093740139,0.046195645,0.029658384,0.014411321,NA,0,0.359610988,0.076923077,0,0.279761905,0,NA,0,0.226190476,0.262084021,0.145442616,0.21472519,0.050542245,NA,0,0.650111005,0.153846154,0,0.532312925,0,NA,0,0.525162338,0.277143531,0.182705293,0.449254615,0.250228925,NA,0,0.818240062
Artibeus jamaicensis,Male,Surgical,1,0,0,2,0,0,22,25,20,2,7,11,0,0,93,133,0,0,0,0,NA,0,0,0,0,0.034482759,0,NA,0,0.243283628,0,0,0,0,NA,0,0.479166667,0.272427984,0,0.08045977,0.295536409,NA,0,0.839233979,0,0,0,0,NA,0,0.6875,0.555122919,0.105882353,0.264244883,0.452534462,NA,0,0.979773127
Atelerix albiventris,Female,Surgical,0,1,8,0,0,0,4,13,11,20,95,45,0,0,320,491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ateles geoffroyi,Male,Surgical,1,1,2,0,0,0,4,8,4,1,1,1,0,0,12,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Axis axis,Female,Hormonal,0,0,6,1,0,0,22,29,22,53,28,8,9,0,222,342,0,0,0,0,0,0,0,0.068725568,0.225801338,0.009345794,0,0.017860016,0,0.486093733,0,0,0,0,0,0,0.096618357,0.137757767,0.327389026,0.09096682,0.04598931,0.045924652,0,0.714518509,0,0,0.17037037,0,0,0,0.693941849,0.26312551,0.468456353,0.33678567,0.068346881,0.114611474,0,0.936486598
Bison bison,Male,Surgical,1,2,4,1,0,0,15,23,15,8,12,5,0,0,113,153,0,0,0,0,NA,0,0.4,0.133413548,0.047078843,0.024390244,0.038951584,NA,0,0.649677344,0.166666667,0.285714286,0,0,NA,0,0.636363636,0.319331868,0.142594732,0.05803196,0.038951584,NA,0,0.884901093,0.166666667,0.285714286,0.34375,0,NA,0,0.852236652,0.343641444,0.218151518,0.222340049,0.068984347,NA,0,0.953239313
Bos grunniens,Male,Surgical,0,0,2,0,0,0,5,7,1,3,10,4,0,0,63,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Boselaphus tragocamelus,Male,Surgical,3,1,1,3,0,0,13,21,19,11,19,3,0,0,126,178,0.090909091,0,0,0,NA,0,0,0.090478677,0,0.017857143,0.022988506,NA,0,0.417853775,0.181818182,0,0,0.125,NA,0,0.222222222,0.17514608,0.110069129,0.035087719,0.042528736,NA,0,0.696785586,0.256198347,0.142857143,0.111111111,0.416666667,NA,0,0.744791667,0.321588489,0.185228867,0.353248772,0.042528736,NA,0,0.909719888
Callimico goeldii,Female,Hormonal,2,2,1,1,1,0,8,15,15,27,16,5,10,0,118,191,0.1,0,0,0,0,0,0,0.036182776,0.060305577,0.012820513,0.012820513,0.011764706,0,0.190078718,0.2,0.2,0.25,0,0.166666667,0,0.25,0.139894466,0.244918618,0.067825273,0.012820513,0.096019906,0,0.542637469,0.2,0.2,0.25,0,0.166666667,0,0.4,0.228419174,0.307159466,0.214130114,0.063858364,0.165752853,0,0.868088528
Callithrix geoffroyi,Female,Hormonal,1,6,6,4,0,0,13,30,16,40,13,10,6,0,172,257,0,0.041666667,0,0,0,0,0,0.049299012,0.068101687,0,0.007194245,0.007751938,0,0.224615835,0,0.085227273,0,0.090909091,0,0,0.086956522,0.09077506,0.219739006,0.039850017,0.026261982,0.047370061,0,0.524803788,0.047619048,0.18528054,0.055555556,0.138755981,0,0,0.342861441,0.138730504,0.34767319,0.140142397,0.057926132,0.059130924,0,0.854661707
Callithrix jacchus,Female,Hormonal,2,3,6,2,1,0,25,39,35,63,43,24,14,0,291,470,0,0,0,0,0,0,0.129166667,0.033292534,0.072974341,0.016444673,0.012453168,0.008196998,0,0.179346977,0,0,0,0,0.043478261,0,0.321227811,0.123932058,0.187719997,0.08104127,0.079206322,0.045386535,0,0.581035197,0.092970522,0.115384615,0.170459987,0.058823529,0.043478261,0,0.616503906,0.19281084,0.356226676,0.291122887,0.174926425,0.089013666,0,0.880005064
Callithrix jacchus,Male,Surgical,2,1,2,1,0,0,9,15,50,58,53,26,0,0,279,466,0,0.166666667,0.166666667,0,NA,0,0,0.071437044,0.084503479,0.018734213,0.009049774,NA,0,0.252261458,0.2,0.166666667,0.166666667,0,NA,0,0.421296296,0.173060669,0.183150441,0.109864319,0.082203607,NA,0,0.566186741,0.36,0.166666667,0.166666667,0.25,NA,0,0.782986111,0.273832179,0.35503922,0.280935245,0.188412937,NA,0,0.862848593
Camelus bactrianus,Male,Surgical,0,1,3,5,0,0,8,17,10,10,18,15,0,0,93,146,0,0,0,0,NA,0,0.393939394,0.12813613,0.155493748,0.052083333,0.083333333,NA,0,0.508633267,0,0.111111111,0.1,0.166666667,NA,0,0.46969697,0.185934762,0.189273998,0.152020164,0.159393908,NA,0,0.754778793,0,0.111111111,0.46,1,NA,0,0.810606061,0.24304393,0.227879998,0.391618991,0.441477138,NA,0,0.916689583
Camelus dromedarius,Male,Surgical,0,0,1,2,0,0,5,8,4,3,4,0,0,0,35,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis latrans,Female,Surgical,2,0,1,0,0,0,1,4,5,0,7,2,0,0,10,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis latrans,Male,Surgical,1,0,2,2,0,0,6,11,4,0,6,4,0,0,20,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis lupus,Female,Hormonal,2,0,1,1,0,0,2,6,21,6,46,23,1,0,99,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canis lupus,Female,Surgical,1,0,12,6,0,0,9,28,24,6,35,18,1,0,99,183,0,0,0,0,0,0,0.055555556,0.165186219,0.016393443,0,0,0,0,0.431880316,0.047619048,0,0.132936508,0.09382151,0,0,0.143560606,0.272696596,0.056476853,0.141196976,0.028367347,0.014492754,0,0.658831563,0.047619048,0,0.444302165,0.358387608,0,0,0.410206667,0.31410247,0.071453411,0.493236409,0.227283816,0.014492754,0,0.780840191
