Species,Sex,Type,Ncontra,NnoContra,minAge,LifeExpNoContra,SEnoContra,LifeExpContra,SEcontra,pHazGamma,pHazGammaSE,pHazGammaLow,pHazGammaUpp
Addax nasomaculatus,Female,Hormonal,37,935,5,8.661220783,0.188521436,9.403855956,0.884648763,-0.202735316,0.244075811,-0.707353845,0.250022018
Addax nasomaculatus,Male,Surgical,82,844,2,7.717151473,0.255251107,8.783263957,0.705458551,-0.219768736,0.152529154,-0.526301561,0.067571891
Aepyceros melampus,Male,Surgical,120,485,1,4.429966356,0.218392004,7.286336132,0.638378354,-0.629676699,0.133249523,-0.901374412,-0.374876528
Alouatta caraya,Female,Hormonal,93,111,5,13.20412554,1.054819377,17.4604286,1.366576642,-0.605764016,0.236298767,-1.081586879,-0.147929752
Alouatta caraya,Male,Surgical,38,227,2,13.84516419,0.660425297,14.72006975,1.598501883,-0.136752309,0.262696141,-0.666899977,0.34494121
Ammotragus lervia,Male,Surgical,131,2019,1,10.29889421,0.19720046,9.73487039,0.574057124,0.120389932,0.130428777,-0.143285138,0.366315106
Antilope cervicapra,Male,Surgical,290,2336,1,4.936698716,0.114975732,8.129627032,0.484775821,-0.631338521,0.086449058,-0.80087304,-0.464635518
Aonyx cinereus,Female,Hormonal,113,1307,1,9.374895669,0.190018858,10.95578734,0.641345479,-0.350475291,0.145431091,-0.638255692,-0.071866438
Aonyx cinereus,Male,Hormonal,42,545,7,6.88447476,0.20099329,7.856844049,0.771383534,-0.286936727,0.234182409,-0.749198975,0.159637984
Aonyx cinereus,Male,Surgical,93,1355,1,10.02157377,0.209123256,10.09851003,0.678153351,-0.016232535,0.147323016,-0.31331475,0.251150808
Atelerix albiventris,Female,Surgical,30,984,1,3.01674533,0.064551125,2.480224395,0.30418104,0.33366221,0.197517225,-0.074430018,0.695994477
Ateles geoffroyi,Male,Surgical,36,157,3,25.52004075,2.487459775,19.66670842,3.370048004,0.411836498,0.279394645,-0.151474556,0.938077923
Bison bison,Male,Surgical,83,624,2,10.62544941,0.406090319,12.2353497,0.953334004,-0.256964311,0.161492888,-0.584267936,0.06113619
Bos grunniens,Male,Surgical,32,325,2,10.34083915,0.492923379,8.476973667,1.353161547,0.342296638,0.263154278,-0.198718955,0.84407839
Boselaphus tragocamelus,Male,Surgical,59,563,1,7.683735561,0.456667205,6.967961024,1.181391762,0.106253895,0.177625841,-0.253373118,0.451140382
Callimico goeldii,Female,Hormonal,54,498,2,8.470956458,0.298449375,9.590275132,1.030392125,-0.198351545,0.186876383,-0.576398352,0.152128643
Callithrix geoffroyi,Female,Hormonal,70,537,1,6.464401693,0.250107247,5.920152109,0.638299339,0.122173223,0.150617947,-0.184463523,0.407162457
Callithrix jacchus,Female,Hormonal,126,1458,1,6.688260987,0.174713633,7.104458605,0.628325611,-0.078628623,0.125651666,-0.33292331,0.162547753
Callithrix jacchus,Male,Surgical,125,1702,1,7.248132847,0.176843426,9.06800708,0.821018919,-0.32479275,0.141404814,-0.615621324,-0.0568398
Camelus bactrianus,Male,Surgical,80,587,3,13.32786766,0.379641667,12.4563527,1.012996609,0.153726959,0.188089055,-0.231507237,0.507979045
Camelus dromedarius,Male,Surgical,72,443,4,15.67564027,0.575978115,13.01034953,1.333987047,0.433981133,0.236750671,-0.041618246,0.879056603
Canis latrans,Male,Surgical,51,150,2,10.16023563,0.446833667,11.5510251,0.617268161,-0.460909408,0.227858461,-0.909769186,-0.024884382
Canis lupus,Female,Surgical,92,405,4,8.026225577,0.244354801,8.769926753,0.499198053,-0.215238344,0.155729433,-0.530296582,0.081976482
Canis lupus,Female,Surgical,92,405,4,8.026225577,0.244354801,8.769926753,0.499198053,-0.215238344,0.155729433,-0.530296582,0.081976482
Canis lupus,Female,Surgical,92,405,4,8.026225577,0.244354801,8.769926753,0.499198053,-0.215238344,0.155729433,-0.530296582,0.081976482
