"species","Female_Hormonal_Contra_N","Female_Hormonal_Contra_Mean","Female_Hormonal_Contra_SE","Female_Hormonal_NoContra_N","Female_Hormonal_NoContra_Mean","Female_Hormonal_NoContra_SE","Female_Surgical_Contra_N","Female_Surgical_Contra_Mean","Female_Surgical_Contra_SE","Female_Surgical_NoContra_N","Female_Surgical_NoContra_Mean","Female_Surgical_NoContra_SE","Male_Hormonal_Contra_N","Male_Hormonal_Contra_Mean","Male_Hormonal_Contra_SE","Male_Hormonal_NoContra_N","Male_Hormonal_NoContra_Mean","Male_Hormonal_NoContra_SE","Male_Surgical_Contra_N","Male_Surgical_Contra_Mean","Male_Surgical_Contra_SE","Male_Surgical_NoContra_N","Male_Surgical_NoContra_Mean","Male_Surgical_NoContra_SE"
"Addax nasomaculatus",37,9.40385595638562,0.884648762784232,935,8.66122078287527,0.188521435930189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82,8.78326395679145,0.705458550987572,844,7.71715147282425,0.255251107021693
"Aepyceros melampus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,7.28633613249831,0.638378354452148,485,4.42996635616665,0.218392003972169
"Alouatta caraya",93,17.4604286008953,1.36657664207158,111,13.2041255393546,1.05481937657171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,14.7200697489285,1.5985018827008,227,13.8451641907328,0.660425296979183
"Ammotragus lervia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,9.73487038951005,0.57405712393333,2019,10.2988942149169,0.197200459958485
"Antilope cervicapra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,290,8.12962703213525,0.484775821350435,2336,4.9366987156131,0.114975732210028
"Aonyx cinereus",113,10.955787339838,0.641345479234479,1307,9.37489566945011,0.190018858430879,NA,NA,NA,NA,NA,NA,42,7.85684404912746,0.771383534056327,545,6.88447475995174,0.200993290251387,93,10.0985100323881,0.678153350535012,1355,10.0215737656151,0.209123255616216
"Atelerix albiventris",NA,NA,NA,NA,NA,NA,30,2.48022439471112,0.304181040355535,984,3.01674532974097,0.0645511253736584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ateles geoffroyi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,19.6667084195579,3.37004800369423,157,25.5200407504934,2.48745977533183
"Axis axis",37,5.86681398223335,0.968249607683323,634,9.84168910244484,0.906734222200582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bison bison",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,12.2353497025187,0.953334003793739,624,10.6254494128302,0.406090318534948
"Bos grunniens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,8.47697366679509,1.3531615469043,325,10.3408391507817,0.492923379333222
"Boselaphus tragocamelus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,6.96796102445454,1.18139176212822,563,7.6837355613537,0.456667204718327
"Callimico goeldii",54,9.59027513167039,1.03039212521221,498,8.47095645806481,0.29844937539631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callithrix geoffroyi",70,5.92015210885332,0.638299339076042,537,6.46440169320861,0.250107247083719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callithrix jacchus",126,7.10445860520545,0.62832561141601,1458,6.68826098743214,0.174713633007936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,9.06800707975122,0.821018919357986,1702,7.24813284679739,0.17684342621448
"Camelus bactrianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,12.4563527016553,1.01299660916615,587,13.3278676608783,0.379641666832881
"Camelus dromedarius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,13.010349534785,1.33398704676051,443,15.6756402676381,0.575978115314126
"Canis latrans",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,11.551025095402,0.617268160977028,150,10.160235631341,0.446833666988426
"Canis lupus",NA,NA,NA,NA,NA,NA,92,8.76992675321605,0.499198052851073,405,8.02622557694134,0.244354800992039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Capra hircus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,503,8.01963192594205,0.218909916715428,1858,8.24985783889624,0.13179915886101
"Cavia porcellus",NA,NA,NA,NA,NA,NA,42,3.07183678698995,0.275982936061581,3222,3.84140800380162,0.0445467135653456,NA,NA,NA,NA,NA,NA,144,3.84777416309585,0.210857923150059,1379,3.71308930079662,0.0699043650152659
"Cebuella pygmaea",47,6.83888324093838,0.8868751705,961,5.65236960153213,0.158250089579888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cebus capucinus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,27.5799737695815,2.77788657383557,131,19.8963447921385,1.55771461349042
"Cercopithecus neglectus",57,16.1928881666412,1.43422451150086,193,16.0055689454525,0.800574324371206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cervus elaphus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,8.13135531743964,1.14727212687234,491,7.33131439234286,0.416337783501076
"Chinchilla lanigera",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,8.29107974048062,1.31431700981159,581,7.22183586458226,0.299017705880511
"Colobus guereza",101,17.0318141290321,1.27845366699154,290,11.7537622949648,0.635978452673345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cynomys ludovicianus",NA,NA,NA,NA,NA,NA,45,5.2575936828255,0.716554632718932,1277,5.16868484155824,0.141032935818827,NA,NA,NA,NA,NA,NA,116,4.91628851243624,0.431393310353433,1108,5.33251204786684,0.174125933598866
"Dama dama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,142,9.42199080006361,0.980921967208681,1922,6.77957614838687,0.202875669410304
"Desmodus rotundus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,14.3101006952387,1.59983256673013,464,11.0661938652423,0.505375452081597
"Didelphis virginiana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,1.71173772044618,0.123700505600285,389,1.56403554355239,0.0538188322291917
"Dolichotis patagonum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107,5.81255146823674,0.572544077119119,1744,5.30253320601727,0.134934991036436
"Eidolon helvum",NA,NA,NA,NA,NA,NA,92,19.7008173074194,1.01217250852824,548,16.7457745165928,0.435541997848825,NA,NA,NA,NA,NA,NA,164,15.7468983831727,0.756489045981401,493,14.0471871513359,0.41499662321484
"Equus caballus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,18.4515815167006,1.43953658410652,543,19.6515594914207,0.75582402659642
"Equus quagga",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,21.4849279583501,2.4251074100396,235,13.1693497205169,0.889527737768815
"Erythrocebus patas",44,13.9129488515047,1.35316334579374,305,11.9436242996808,0.507628297854819,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,10.2234904587139,1.41170087654268,233,10.9120065989675,0.650695627162812
"Eudorcas thomsonii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,7.96898102014143,0.848589805395824,358,5.15030594442817,0.28624509496627
