"vertlifeSpecies","ZIMSspecies","order"
"Oryx dammah","Oryx dammah","Artiodactyla"
"Vulpes vulpes","Vulpes vulpes","Carnivora"
"Vulpes zerda","Vulpes zerda","Carnivora"
"Macropus fuliginosus","Macropus fuliginosus","Diprotodontia"
"Dama dama","Dama dama","Artiodactyla"
"Mustela putorius","Mustela putorius","Carnivora"
"Mephitis mephitis","Mephitis mephitis","Carnivora"
"Saguinus oedipus","Saguinus oedipus","Primates"
"Tragelaphus oryx","Tragelaphus oryx","Artiodactyla"
"Suricata suricatta","Suricata suricatta","Carnivora"
"Callithrix jacchus","Callithrix jacchus","Primates"
"Tragelaphus strepsiceros","Tragelaphus strepsiceros","Artiodactyla"
"Eulemur macaco","Eulemur macaco","Primates"
"Lemur catta","Lemur catta","Primates"
"Ursus americanus","Ursus americanus","Carnivora"
"Ursus arctos","Ursus arctos","Carnivora"
"Capra nubiana","Capra nubiana","Artiodactyla"
"Sapajus apella","Sapajus apella","Primates"
"Cebus capucinus","Cebus capucinus","Primates"
"Panthera tigris","Panthera tigris","Carnivora"
"Odocoileus virginianus","Odocoileus virginianus","Artiodactyla"
"Canis latrans","Canis latrans","Carnivora"
"Canis lupus","Canis lupus","Carnivora"
"Mungos mungo","Mungos mungo","Carnivora"
"Hemitragus jemlahicus","Hemitragus jemlahicus","Artiodactyla"
"Saimiri sciureus","Saimiri sciureus","Primates"
"Macropus rufogriseus","Notamacropus rufogriseus","Diprotodontia"
"Zalophus californianus","Zalophus californianus","Carnivora"
"Nasua narica","Nasua narica","Carnivora"
"Nasua nasua","Nasua nasua","Carnivora"
"Ammotragus lervia","Ammotragus lervia","Artiodactyla"
"Rangifer tarandus","Rangifer tarandus","Artiodactyla"
"Aonyx cinerea","Aonyx cinereus","Carnivora"
"Procyon lotor","Procyon lotor","Carnivora"
"Pithecia pithecia","Pithecia pithecia","Primates"
"Lycaon pictus","Lycaon pictus","Carnivora"
"Callimico goeldii","Callimico goeldii","Primates"
"Macaca mulatta","Macaca mulatta","Primates"
"Macaca nemestrina","Macaca nemestrina","Primates"
"Callithrix geoffroyi","Callithrix geoffroyi","Primates"
"Macaca nigra","Macaca nigra","Primates"
"Macaca silenus","Macaca silenus","Primates"
"Macaca sylvanus","Macaca sylvanus","Primates"
"Vulpes lagopus","Vulpes lagopus","Carnivora"
"Mandrillus sphinx","Mandrillus sphinx","Primates"
"Macropus parma","Notamacropus parma","Diprotodontia"
"Axis axis","Axis axis","Artiodactyla"
"Papio hamadryas","Papio hamadryas","Primates"
"Papio papio","Papio papio","Primates"
"Atelerix albiventris","Atelerix albiventris","Eulipotyphla"
"Colobus guereza","Colobus guereza","Primates"
"Chinchilla lanigera","Chinchilla lanigera","Rodentia"
"Cervus elaphus","Cervus elaphus","Artiodactyla"
"Kobus megaceros","Kobus megaceros","Artiodactyla"
"Trachypithecus cristatus","Trachypithecus cristatus","Primates"
"Cavia porcellus","Cavia porcellus","Rodentia"
"Symphalangus syndactylus","Symphalangus syndactylus","Primates"
"Pan troglodytes","Pan troglodytes","Primates"
"Dolichotis patagonum","Dolichotis patagonum","Rodentia"
"Pecari tajacu","Pecari tajacu","Artiodactyla"
"Pongo abelii","Pongo abelii","Primates"
"Eidolon helvum","Eidolon helvum","Chiroptera"
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris","Rodentia"
"Pteropus rodricensis","Pteropus rodricensis","Chiroptera"
"Rousettus aegyptiacus","Rousettus aegyptiacus","Chiroptera"
"Cebuella pygmaea","Cebuella pygmaea","Primates"
"Desmodus rotundus","Desmodus rotundus","Chiroptera"
"Leontopithecus chrysomelas","Leontopithecus chrysomelas","Primates"
"Octodon degus","Octodon degus","Rodentia"
"Myocastor coypus","Myocastor coypus","Rodentia"
"Macropus rufus","Osphranter rufus","Diprotodontia"
"Leontopithecus rosalia","Leontopithecus rosalia","Primates"
"Artibeus jamaicensis","Artibeus jamaicensis","Chiroptera"
"Oryctolagus cuniculus","Oryctolagus cuniculus","Lagomorpha"
"Saguinus bicolor","Saguinus bicolor","Primates"
"Leptailurus serval","Leptailurus serval","Carnivora"
"Lynx lynx","Lynx lynx","Carnivora"
"Cynomys ludovicianus","Cynomys ludovicianus","Rodentia"
"Lynx rufus","Lynx rufus","Carnivora"
"Equus quagga","Equus quagga","Perissodactyla"
"Puma concolor","Puma concolor","Carnivora"
"Equus caballus","Equus caballus","Perissodactyla"
"Alouatta caraya","Alouatta caraya","Primates"
"Mustela nigripes","Mustela nigripes","Carnivora"
"Panthera leo","Panthera leo","Carnivora"
"Varecia rubra","Varecia rubra","Primates"
"Camelus bactrianus","Camelus bactrianus","Artiodactyla"
"Addax nasomaculatus","Addax nasomaculatus","Artiodactyla"
