"Species","Sex","Type","Ncontra","NnoContra","minAge","LifeExpNoContra","SEnoContra","LifeExpContra","SEcontra","pHazGamma","pHazGammaSE","pHazGammaLow","pHazGammaUpp"
"Addax nasomaculatus","Female","Hormonal",37,935,5,8.66122078287527,0.188521435930189,9.40385595638562,0.884648762784232,-0.202735315785296,0.2440758113717,-0.707353844888657,0.250022017951962
"Addax nasomaculatus","Male","Surgical",82,844,2,7.71715147282425,0.255251107021693,8.78326395679145,0.705458550987572,-0.21976873596682,0.152529154296905,-0.526301560502221,0.0675718911197909
"Aepyceros melampus","Male","Surgical",120,485,1,4.42996635616665,0.218392003972169,7.28633613249831,0.638378354452148,-0.629676698788901,0.133249522726347,-0.901374411642385,-0.374876528467857
"Alouatta caraya","Female","Hormonal",93,111,5,13.2041255393546,1.05481937657171,17.4604286008953,1.36657664207158,-0.605764015779862,0.23629876652808,-1.0815868791409,-0.147929752267979
"Alouatta caraya","Male","Surgical",38,227,2,13.8451641907328,0.660425296979183,14.7200697489285,1.5985018827008,-0.136752309049531,0.262696140973798,-0.666899977212067,0.344941209783839
"Ammotragus lervia","Male","Surgical",131,2019,1,10.2988942149169,0.197200459958485,9.73487038951005,0.57405712393333,0.120389932293756,0.130428777256703,-0.143285137673686,0.366315106142514
"Antilope cervicapra","Male","Surgical",290,2336,1,4.9366987156131,0.114975732210028,8.12962703213525,0.484775821350435,-0.63133852056574,0.0864490579066759,-0.800873039738087,-0.464635517897169
"Aonyx cinereus","Female","Hormonal",113,1307,1,9.37489566945011,0.190018858430879,10.955787339838,0.641345479234479,-0.350475290541204,0.145431091177527,-0.63825569238996,-0.07186643834852
"Aonyx cinereus","Male","Hormonal",42,545,7,6.88447475995174,0.200993290251387,7.85684404912746,0.771383534056327,-0.28693672651085,0.234182408976998,-0.749198975190504,0.159637983888808
"Aonyx cinereus","Male","Surgical",93,1355,1,10.0215737656151,0.209123255616216,10.0985100323881,0.678153350535012,-0.0162325347896518,0.147323015808762,-0.313314749706993,0.25115080847937
"Atelerix albiventris","Female","Surgical",30,984,1,3.01674532974097,0.0645511253736584,2.48022439471112,0.304181040355535,0.333662209926923,0.197517224826744,-0.0744300180423546,0.695994477465079
"Ateles geoffroyi","Male","Surgical",36,157,3,25.5200407504934,2.48745977533183,19.6667084195579,3.37004800369423,0.411836498250042,0.279394645189424,-0.151474555844865,0.93807792334779
"Axis axis","Female","Hormonal",37,634,10,9.84168910244484,0.906734222200582,5.86681398223335,0.968249607683323,0.586100077337922,0.184289618519769,0.229850461799583,0.946617476238866
"Bison bison","Male","Surgical",83,624,2,10.6254494128302,0.406090318534948,12.2353497025187,0.953334003793739,-0.256964310754223,0.161492887531604,-0.584267936400554,0.0611361903896547
"Bos grunniens","Male","Surgical",32,325,2,10.3408391507817,0.492923379333222,8.47697366679509,1.3531615469043,0.342296637982226,0.263154278066835,-0.198718954903608,0.84407838987275
"Boselaphus tragocamelus","Male","Surgical",59,563,1,7.6837355613537,0.456667204718327,6.96796102445454,1.18139176212822,0.106253895368486,0.177625841470733,-0.253373117758254,0.451140382481231
"Callimico goeldii","Female","Hormonal",54,498,2,8.47095645806481,0.29844937539631,9.59027513167039,1.03039212521221,-0.198351545220197,0.18687638274705,-0.576398352287821,0.152128643142953
"Callithrix geoffroyi","Female","Hormonal",70,537,1,6.46440169320861,0.250107247083719,5.92015210885332,0.638299339076042,0.122173222550251,0.150617947420758,-0.184463523138002,0.407162457097838
"Callithrix jacchus","Female","Hormonal",126,1458,1,6.68826098743214,0.174713633007936,7.10445860520545,0.62832561141601,-0.0786286234027506,0.125651665953863,-0.332923309966558,0.162547752996367
"Callithrix jacchus","Male","Surgical",125,1702,1,7.24813284679739,0.17684342621448,9.06800707975122,0.821018919357986,-0.324792750041601,0.141404814426821,-0.615621324294023,-0.0568397997160017
"Camelus bactrianus","Male","Surgical",80,587,3,13.3278676608783,0.379641666832881,12.4563527016553,1.01299660916615,0.1537269585926,0.188089054841395,-0.231507236601507,0.50797904484115
"Camelus dromedarius","Male","Surgical",72,443,4,15.6756402676381,0.575978115314126,13.010349534785,1.33398704676051,0.433981133231003,0.236750671242015,-0.0416182461458027,0.879056603002833
