"Species","Sex","Type","Ncontra","NnoContra","minAge","LifeExpNoContra","SEnoContra","LifeExpContra","SEcontra","pHazGamma","pHazGammaSE","pHazGammaLow","pHazGammaUpp"
"Ammotragus lervia","Male","Surgical",49,1666,1,7.15864165640571,0.195947217495776,9.75174720652665,1.12699968720127,-0.48333079898879,0.20230916682392,-0.892776579235842,-0.107698637326877
"Antilope cervicapra","Male","Surgical",100,1712,1,4.92735193132882,0.129359050404935,8.5566007502149,0.891815080115713,-0.800133231058386,0.174792563838827,-1.14045832601381,-0.463842393066164
"Artibeus jamaicensis","Male","Surgical",56,216,3,4.8670536449354,0.418209027278048,9.35462100894753,1.30743377544331,-0.924846013670921,0.219106030379534,-1.37248564857033,-0.507316424740701
"Axis axis","Female","Hormonal",35,1790,1,9.40166878371742,0.194651411292896,13.3448251220415,2.54628816018704,-0.829078819563965,0.534051932166096,-1.97729127012859,0.150623963460407
"Bison bison","Male","Surgical",46,607,2,11.6568322345359,0.413125811453727,16.0342515030292,2.04419647249606,-0.726904958483065,0.34290341223555,-1.43151200378561,-0.10756501773701
"Boselaphus tragocamelus","Male","Surgical",31,801,1,5.68500361937978,0.227952550018292,9.8520503936589,1.78947511819889,-0.848585321284166,0.352061311155885,-1.56173867648893,-0.197787492349424
"Camelus dromedarius","Male","Surgical",36,382,4,12.1134122254492,0.584996724678069,15.0663638187681,2.32540839032513,-0.432676172921738,0.342062994476905,-1.13219107819741,0.178411968208289
"Canis lupus","Female","Surgical",38,538,1,9.26953052523624,0.263945513137699,10.5638914106212,1.09153982718871,-0.326957997264259,0.284586410869202,-0.912987762787786,0.204110993274114
"Canis lupus","Male","Surgical",39,583,1,9.52658185250701,0.25685139299207,11.1924209539503,0.968163057853112,-0.412472827053955,0.244808683295527,-0.906563102103368,0.0386623463455149
"Capra hircus","Male","Surgical",579,1551,1,7.78640445037905,0.18670821136027,8.53033922761369,0.287776061240233,-0.20042769234062,0.0930774473529015,-0.381884200601436,-0.0206609373919699
"Capra nubiana","Male","Surgical",36,402,1,6.95226099286788,0.35324234860479,9.63395359514008,1.20110626075244,-0.604306895481041,0.271526454413255,-1.14885127203906,-0.100644418690231
"Cavia porcellus","Male","Surgical",43,319,1,2.87545701358145,0.15566690760785,3.51153081020209,0.438817294940644,-0.315228786321925,0.22190191431447,-0.767505401810354,0.102386391520927
"Colobus guereza","Female","Hormonal",32,330,3,8.94711354267512,0.54032448968243,14.0504079401029,3.15600492599514,-0.595309460420473,0.333791458095964,-1.26736283634754,0.031975889236198
"Cynomys ludovicianus","Female","Surgical",32,993,2,4.82289836409435,0.140871319864739,4.11728660765564,0.786738484402256,0.277469586900652,0.303436164558086,-0.340694881438021,0.83491475259149
"Cynomys ludovicianus","Male","Surgical",81,845,2,4.26315472320707,0.155018696952472,4.33310848111988,0.512419134299762,-0.0175002912892999,0.178507089187001,-0.390845876925143,0.319462825116533
"Dama dama","Male","Surgical",61,1744,1,6.95879482206311,0.230182870028229,9.83769867060132,1.5888622502149,-0.510453262371976,0.261308834426319,-1.04092572710882,-0.0257663166605134
"Dolichotis patagonum","Male","Surgical",30,2454,0,3.54574515767151,0.102006161497324,6.71369759043851,1.05424463563007,-0.707557011356787,0.215896315899373,-1.16284302590888,-0.316930768405267
"Equus caballus","Male","Surgical",216,519,3,18.5919808919641,0.921903594515006,21.257123333906,1.71233554610802,-0.329144725177679,0.219452966499236,-0.766320218955817,0.0816029707701713
"Eudorcas thomsonii","Male","Surgical",42,419,1,4.55685423093043,0.244851681999294,8.7803503202576,0.959652082664015,-0.980755216758674,0.22324987162612,-1.43412120462962,-0.571703137284929
"Felis catus","Female","Surgical",34,61,2,14.3524808358834,1.55983008209932,12.5817967660926,1.40190090140648,0.39969114096839,0.418269945102622,-0.405309704347517,1.24877486302952
"Felis catus","Male","Surgical",53,84,0,9.18491963411203,1.23701630516357,15.2904162698921,2.67068576763941,-1.06685251767509,0.385722007441698,-1.85787989150896,-0.335345838381934
"Hydrochoerus hydrochaeris","Male","Surgical",43,955,1,4.95617872435465,0.153174211111852,7.12015653684728,0.790321446065411,-0.607775296867444,0.224293008181896,-1.07455882092017,-0.171131085886627
"Lama glama","Male","Surgical",124,1911,1,13.225499427586,0.394254371275127,16.2249207090075,1.38748336109384,-0.437102009679488,0.199191752334651,-0.840937528596078,-0.0597312823470119
"Lama guanicoe","Male","Surgical",41,576,2,11.488116330963,0.489660418595817,17.532015424932,2.5357630889328,-0.889778408890812,0.369961143323724,-1.66139841803051,-0.234674863320787
