Study,order checked,cohort,shared control,Age at test,Age at test_months,Measure,Sub measure,Checked,direction of improved health,Measurement type,Measure_exact notes,Gonads_removed,Control_treatment,Sex,Species_Latin,Species,Strain,Mixedsexenvironment,Environment,Wild_or_semi_wild,Age_at_treatment,Age at treatment_weeks,Control_value,Experimental_value,Error_control_extracted,Error_experimental_extracted,measurement_parameter,measurement_unit,Error_unit,Error_control_SD,Error_experimental_SD,whole IQR control,whole IQR treatment,control sample size range,experomental sample size range,Coefficent_unit,Sample_size_control,Sample_size_experimental,Notes,Notes2,Notes3
Ayaz 2019,15,1,1,16-18 months,17,cardiac function,Cardiac function/pathology,Yes,Increased,E/A ratio,E/A ratio,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,1.57,1.63,0.06,0.05,mean,ratio,SE,0.224499443,0.206155281,,,,,,14,17,Fig8,,
Ayaz 2019,16,1,1,16-18 months,17,cardiac function,Cardiac function/pathology,Yes,Increased,Ejection fraction,Ejection fraction,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,58.79,62.48,2.81,1.67,mean,%,SE,10.51405726,6.885586395,,,,,,14,17,Fig8,,
Ayaz 2019,11,1,1,16-18 months,17,cardiac function,Cardiac function/pathology,Yes,Increased,fractional shortening,fractional shortening,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,26.75,29.27,2.36,1.39,mean,%,SE,11.06938119,7.485379082,,,,,,22,29,Fig8,,
Ayaz 2019,14,1,1,16-18 months,17,cardiac function,Cardiac function/pathology,Yes,decreased,Left Ventricular Isovolumic Relaxation Time,Left Ventricular Isovolumic Relaxation Time.,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4weeks,4,12.74,17,1.04,0.97,mean,ms,SE,4.87803239,5.223609863,,,,,,22,29,Fig8,,
Fares 2013,39,2,2,24 months,24,cardiac function,Cardiac function/pathology,checked,Increased,Ejection fraction,Ejection fraction,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4 weeks,4,60.45,60.45,2.69,2.32,mean,%,SE,6.589127408,5.682816203,,,,,,6,6,fig 2,,
Fares 2013,37,2,2,24 months,24,cardiac function,Cardiac function/pathology,checked,Increased,fractional shortening,LV fractional shortening,yes,Sham,Female,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,4 weeks,4,27.83,28.05,1.8,1.24,mean,%,SE,4.409081537,3.037367281,,,,,,6,6,fig 2,,
hewitson 2012,59,3,3,12 months,12,cardiac function,Cardiac function/pathology,checked,decreased,cardiac fibrosis,cardiac fibrosis,yes,Sham,Male,Mus musculus,Mice,RlnWT,no,Laboratory,No,4 weeks,4,0.9982,0.9928,0.062,0.04,mean,%,SEM,0.151868364,0.09797959,,,,,,6,6,fig2A,,
banga 2021,24,19,19,18 months,18,cardiac function,Cardiac function/pathology,Yes,Increased,E/A ratio,E/A ratio,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,1.59,1.26,0.19,0.07,mean,ratio,SEM,0.600832755,0.232163735,,,,,,10,11,table 1,,
banga 2021,17,19,19,18 months,18,cardiac function,Cardiac function/pathology,Yes,Increased,Ejection fraction,Ejection fraction,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,64.75,72.71,3.81,2.28,mean,%,SEM,12.04827789,7.561904522,,,,,,10,11,table 1,,
banga 2021,23,19,19,18 months,18,cardiac function,Cardiac function/pathology,Yes,decreased,Left Ventricular Isovolumic Relaxation Time,Left Ventricular Isovolumic Relaxation Time.,yes,Sham,Male,Mus musculus,Mice,C57Bl6/J,no,Laboratory,No,1 month,4,10.46,12.51,0.83,0.45,mean,ms,SEM,2.624690458,1.492481156,,,,,,10,11,table 1,,
